S0,L,ms,fi,SN112EK52.5,SN112EK57.5,SN112EK62.5,SN112EK67.5,SN112EK72.5,SN112EK77.5,SN112EK82.5,SN112EK87.5,SN124EK52.5,SN124EK57.5,SN124EK62.5,SN124EK67.5,SN124EK72.5,SN124EK77.5,SN124EK82.5,SN124EK87.5,DREK12.5,DREK17.5,DREK22.5,DREK27.5,DREK32.5,DREK37.5,DREK42.5,DREK47.5,DREK52.5,DREK60.0,DREK70.0,DREK80.0,DREK87.5,SN112EK42.5_Error,SN112EK47.5_Error,SN112EK52.5_Error,SN112EK57.5_Error,SN112EK62.5_Error,SN112EK67.5_Error,SN112EK72.5_Error,SN112EK77.5_Error,SN112EK82.5_Error,SN112EK87.5_Error,SN124EK42.5_Error,SN124EK47.5_Error,SN124EK52.5_Error,SN124EK57.5_Error,SN124EK62.5_Error,SN124EK67.5_Error,SN124EK72.5_Error,SN124EK77.5_Error,SN124EK82.5_Error,SN124EK87.5_Error,DREK12.5_Error,DREK17.5_Error,DREK22.5_Error,DREK27.5_Error,DREK32.5_Error,DREK37.5_Error,DREK42.5_Error,DREK47.5_Error,DREK52.5_Error,DREK60.0_Error,DREK70.0_Error,DREK80.0_Error,DREK87.5_Error
27.657,79.5,0.612,0.608346,0.973599,0.94855,0.928064,0.910654,0.896319,0.884498,0.875191,0.868814,1.32122,1.32049,1.31444,1.31853,1.33277,1.34235,1.34727,1.35423,1.15798,1.17163,1.18814,1.21005,1.23738,1.26105,1.28106,1.3134,1.35807,1.40462,1.46788,1.5287,1.55877,0.00506,0.0055335,0.0060425,0.00662975,0.00729525,0.008069,0.008951,0.0099815,0.0111605,0.012548,0.00620875,0.00696375,0.00784325,0.00880325,0.00984375,0.0111252,0.0126478,0.0143468,0.0162223,0.0184125,0.00427143,0.00458164,0.00513538,0.005836,0.0066835,0.00764739,0.00872765,0.0100816,0.0117091,0.0144548,0.0191569,0.025338,0.0309483
26.009,95.7,0.996,-0.414424,0.786207,0.742352,0.705312,0.668324,0.631387,0.597607,0.566985,0.539501,1.05688,1.00717,0.95689,0.911367,0.870596,0.82881,0.786007,0.745482,1.17643,1.1986,1.22042,1.24338,1.26749,1.28748,1.30335,1.32265,1.34537,1.35671,1.37191,1.38656,1.38149,0.00377125,0.00392775,0.00408525,0.00426375,0.00446325,0.00466025,0.00485475,0.0050765,0.0053255,0.00559625,0.00455475,0.004788,0.005028,0.00526275,0.00549225,0.00574625,0.00602475,0.0062965,0.0065615,0.00685025,0.00364215,0.00406271,0.00463445,0.00527744,0.00599167,0.00675496,0.00756732,0.00849145,0.00952735,0.0111033,0.0136096,0.0166765,0.0192051
30.747,63.3,0.716,0.303752,0.985848,0.964466,0.953709,0.93734,0.915358,0.898025,0.88534,0.874253,1.37861,1.37367,1.36454,1.36801,1.38409,1.38827,1.38056,1.37657,1.15579,1.17363,1.19473,1.22186,1.25504,1.28735,1.3188,1.35617,1.39945,1.42758,1.4867,1.55278,1.5747,0.00507575,0.0055315,0.0060145,0.00661825,0.00734275,0.00809125,0.00886375,0.0097645,0.0107935,0.012008,0.00638425,0.00715025,0.00801075,0.008939,0.009935,0.0111722,0.0126508,0.0141925,0.0157975,0.0176983,0.00398318,0.00434927,0.00495969,0.00572201,0.00663625,0.00767688,0.0088439,0.0102307,0.0118372,0.0143325,0.0188187,0.0246142,0.029673
28.069,41.7,0.884,0.0262493,0.952457,0.923108,0.901093,0.876127,0.848211,0.824675,0.805519,0.795111,1.32911,1.30788,1.29111,1.27405,1.25672,1.24767,1.2469,1.2258,1.16476,1.18617,1.20813,1.23353,1.26237,1.29697,1.33733,1.3704,1.3962,1.42511,1.46857,1.53105,1.5416,0.00479825,0.00518725,0.00559175,0.00607625,0.00664075,0.00720725,0.00777575,0.00844425,0.00921275,0.0101655,0.00607675,0.00671775,0.00736325,0.00808975,0.00889725,0.00977675,0.0107282,0.0118505,0.0131435,0.0143567,0.00368904,0.00411939,0.0047627,0.00552447,0.00640468,0.007444,0.00864243,0.00993219,0.0113133,0.013664,0.0175271,0.0226784,0.0266945
31.365,72.3,0.692,0.00623778,0.926236,0.894655,0.866922,0.841203,0.817495,0.797324,0.780688,0.766071,1.2859,1.2637,1.24165,1.222,1.20475,1.18374,1.15896,1.13816,1.16084,1.18232,1.20778,1.23676,1.26924,1.30091,1.33177,1.36117,1.38911,1.42284,1.46365,1.48459,1.48574,0.00484675,0.00522175,0.00561925,0.00605825,0.00653875,0.00707825,0.00767675,0.0083785,0.0091835,0.0100982,0.0060925,0.00669175,0.00732725,0.00802975,0.00879925,0.00964375,0.0105632,0.0115438,0.0125852,0.0137375,0.00408986,0.00447566,0.0051051,0.00586954,0.00676899,0.00778702,0.00892365,0.0101965,0.0116056,0.0140184,0.017904,0.0225644,0.0265948
29.305,97.5,0.732,-0.286772,0.835186,0.800942,0.766988,0.733568,0.700682,0.67701,0.662553,0.647954,1.11983,1.07942,1.03874,1.00837,0.988312,0.96526,0.939219,0.912903,1.1678,1.19552,1.22574,1.25271,1.27643,1.29881,1.31986,1.33393,1.34103,1.35122,1.39379,1.42154,1.40875,0.0041815,0.00442925,0.00471575,0.005005,0.005297,0.005601,0.005917,0.00633875,0.00686625,0.00743875,0.0051705,0.005518,0.00587,0.0062305,0.0065995,0.0070725,0.0076495,0.00823425,0.00882675,0.00945775,0.00400067,0.00442182,0.00505456,0.00576178,0.00654346,0.00740297,0.0083403,0.00932753,0.0103647,0.0121297,0.0152864,0.0189697,0.0218175
25.803,45.3,0.82,-0.284247,0.852294,0.805658,0.764274,0.726129,0.691222,0.656415,0.621708,0.594511,1.15702,1.10714,1.05826,1.01135,0.96639,0.921202,0.875779,0.838949,1.17602,1.19809,1.2212,1.24396,1.26639,1.2897,1.31391,1.33685,1.35853,1.37985,1.39564,1.40624,1.41114,0.00438325,0.0046135,0.0048425,0.00508975,0.00535525,0.0056515,0.0059785,0.00630725,0.00663775,0.007061,0.005365,0.005717,0.006071,0.00643625,0.00681275,0.00718975,0.00756725,0.007963,0.008377,0.0089055,0.0038144,0.0042458,0.00487656,0.0055869,0.00637681,0.00726706,0.00825764,0.00935581,0.0105616,0.0125454,0.0155597,0.0192527,0.0225391
31.571,38.1,0.764,-0.0156028,0.995695,0.963691,0.930262,0.90218,0.879447,0.856194,0.832421,0.806815,1.38103,1.36056,1.34343,1.33067,1.32228,1.29869,1.25989,1.23282,1.16164,1.18398,1.21151,1.23902,1.26651,1.30025,1.34024,1.3693,1.38742,1.42884,1.4898,1.5151,1.52888,0.005006,0.0054345,0.0059115,0.00640075,0.00690225,0.00748075,0.00813625,0.00885675,0.00964225,0.0104615,0.0063615,0.0070365,0.0077235,0.008496,0.009354,0.0103362,0.0114427,0.0124885,0.0134735,0.0147005,0.00386975,0.00426843,0.00490338,0.00565693,0.00652911,0.00756028,0.00875045,0.0100137,0.0113502,0.0138446,0.0179615,0.0226913,0.027043
30.953,70.5,0.652,0.60351,1.03124,1.01263,0.997227,0.981333,0.964944,0.95357,0.94721,0.938778,1.42574,1.43982,1.44928,1.463,1.48101,1.49688,1.51063,1.51975,1.154,1.16956,1.18982,1.21272,1.23826,1.26668,1.29798,1.33685,1.38329,1.43795,1.51338,1.58242,1.61906,0.00519425,0.00572025,0.00631075,0.0069835,0.0077385,0.00857575,0.00949525,0.0106043,0.0119028,0.0133615,0.00646625,0.0073445,0.0083855,0.0095255,0.0107645,0.012252,0.013988,0.015934,0.01809,0.020543,0.00410016,0.00442126,0.00499115,0.00569642,0.00653707,0.0075364,0.0086944,0.0101086,0.0117789,0.0146377,0.0195521,0.0259616,0.0318398
34.661,68.7,0.844,0.115315,1.00844,0.986395,0.967317,0.944097,0.916737,0.902366,0.900983,0.892452,1.42635,1.42316,1.41957,1.42338,1.43458,1.43869,1.43572,1.43061,1.15596,1.18169,1.21123,1.23869,1.26408,1.2995,1.34495,1.38345,1.41499,1.45552,1.53753,1.59393,1.60327,0.00502425,0.00549275,0.00600625,0.00657725,0.00720575,0.0078535,0.0085205,0.009399,0.010489,0.0115995,0.006416,0.00721225,0.00806875,0.009,0.010006,0.0112222,0.0126488,0.0141218,0.0156412,0.0173398,0.00371402,0.00415141,0.00482562,0.00560071,0.00647667,0.00754368,0.00880172,0.0101729,0.0116572,0.0141914,0.0187553,0.0241155,0.0285539
