S0,L,ms,fi,SN112EK52.5,SN112EK57.5,SN112EK62.5,SN112EK67.5,SN112EK72.5,SN112EK77.5,SN112EK82.5,SN112EK87.5,SN124EK52.5,SN124EK57.5,SN124EK62.5,SN124EK67.5,SN124EK72.5,SN124EK77.5,SN124EK82.5,SN124EK87.5,DREK12.5,DREK17.5,DREK22.5,DREK27.5,DREK32.5,DREK37.5,DREK42.5,DREK47.5,DREK52.5,DREK60.0,DREK70.0,DREK80.0,DREK87.5,SN112EK42.5_Error,SN112EK47.5_Error,SN112EK52.5_Error,SN112EK57.5_Error,SN112EK62.5_Error,SN112EK67.5_Error,SN112EK72.5_Error,SN112EK77.5_Error,SN112EK82.5_Error,SN112EK87.5_Error,SN124EK42.5_Error,SN124EK47.5_Error,SN124EK52.5_Error,SN124EK57.5_Error,SN124EK62.5_Error,SN124EK67.5_Error,SN124EK72.5_Error,SN124EK77.5_Error,SN124EK82.5_Error,SN124EK87.5_Error,DREK12.5_Error,DREK17.5_Error,DREK22.5_Error,DREK27.5_Error,DREK32.5_Error,DREK37.5_Error,DREK42.5_Error,DREK47.5_Error,DREK52.5_Error,DREK60.0_Error,DREK70.0_Error,DREK80.0_Error,DREK87.5_Error
29.923,77.7,0.94,-0.53617,0.894806,0.839069,0.78452,0.734445,0.688845,0.642553,0.595571,0.557046,1.2018,1.13573,1.06775,1.00261,0.940294,0.880101,0.822028,0.762652,1.17871,1.20102,1.22488,1.24968,1.27541,1.29727,1.31526,1.33074,1.3437,1.35767,1.36507,1.37557,1.3676,0.00421025,0.00436175,0.00451525,0.004657,0.004787,0.00492675,0.00507625,0.00520525,0.00531375,0.00547975,0.00514525,0.00537,0.005588,0.0057815,0.0059505,0.00611125,0.00626375,0.006412,0.006556,0.00666575,0.00369616,0.0040945,0.00464571,0.00527045,0.0059687,0.00671198,0.00750028,0.00835057,0.00926284,0.0107762,0.0130238,0.0158164,0.0180476
26.833,75.9,0.756,0.347142,0.930203,0.914225,0.903985,0.888657,0.86824,0.859731,0.86313,0.854294,1.27668,1.27383,1.26813,1.26406,1.2616,1.26248,1.26669,1.27919,1.15196,1.1727,1.1972,1.22224,1.24782,1.27697,1.30968,1.3417,1.37302,1.39816,1.43828,1.46801,1.49853,0.004754,0.00517875,0.00566825,0.006244,0.006906,0.007587,0.008287,0.00922225,0.0103927,0.0115172,0.0059045,0.006582,0.00736,0.00821525,0.00914775,0.010192,0.011348,0.012693,0.014227,0.0161058,0.00391167,0.00431209,0.00495422,0.00571197,0.00658533,0.0076058,0.00877339,0.0100881,0.0115499,0.0139321,0.0179384,0.0228689,0.027762
28.481,52.5,0.9,0.125889,0.977713,0.950815,0.924049,0.904112,0.891006,0.879418,0.869349,0.857946,1.33477,1.33321,1.33841,1.33489,1.32267,1.31808,1.32113,1.31881,1.15589,1.18035,1.21099,1.23871,1.26352,1.28771,1.31129,1.33731,1.36579,1.42629,1.48056,1.50942,1.53733,0.0048345,0.005275,0.005749,0.006266,0.006826,0.00747325,0.00820775,0.00904525,0.00998575,0.0110215,0.006,0.00667275,0.00743225,0.00831575,0.00932325,0.010381,0.011489,0.0127555,0.0141805,0.0157723,0.00363683,0.00407795,0.00475871,0.00553527,0.00640762,0.00738349,0.00846289,0.00969989,0.0110945,0.0137775,0.0178023,0.0225661,0.0270302
29.511,39.9,0.876,0.193685,1.01953,0.997968,0.978948,0.963107,0.950442,0.935234,0.917484,0.90579,1.41346,1.41326,1.41291,1.41281,1.41296,1.41922,1.43158,1.44307,1.15532,1.17712,1.20275,1.23132,1.26286,1.29371,1.32386,1.35494,1.38695,1.43011,1.47698,1.53954,1.59327,0.00498575,0.005472,0.006002,0.00658925,0.00723375,0.00798225,0.00883475,0.00973425,0.0106808,0.0118227,0.00629075,0.007054,0.00789,0.0088445,0.0099175,0.0110852,0.0123477,0.01386,0.015622,0.0175692,0.00365838,0.0040712,0.0047122,0.00548141,0.00637884,0.00739999,0.00854484,0.00983965,0.0112844,0.0138343,0.0178874,0.0233534,0.0284729
34.455,110.1,0.924,0.02405,0.929649,0.906712,0.891387,0.873654,0.853511,0.838256,0.827886,0.817328,1.29969,1.29498,1.28944,1.27762,1.25953,1.24926,1.24679,1.24632,1.15629,1.18313,1.2141,1.24062,1.26268,1.28987,1.32219,1.35858,1.39905,1.43762,1.46928,1.4983,1.52509,0.004633,0.00502175,0.00543925,0.005929,0.006491,0.00707575,0.00768325,0.00839475,0.00921025,0.0101055,0.0057905,0.0064385,0.0071595,0.0079445,0.0087935,0.00967975,0.0106032,0.0116965,0.0129595,0.0143905,0.00364107,0.00410973,0.00479875,0.00556777,0.00641678,0.00740072,0.00851958,0.00981439,0.0112852,0.0136471,0.0172443,0.0217131,0.0258452
34.043,50.7,0.644,0.325801,1.05338,1.03096,1.01137,0.992285,0.973696,0.958165,0.945692,0.931768,1.46346,1.46982,1.4806,1.4847,1.48213,1.48011,1.47866,1.48511,1.16482,1.18394,1.20585,1.22907,1.25361,1.28402,1.32029,1.35559,1.38992,1.44537,1.50957,1.55434,1.59438,0.0052885,0.00580625,0.00637875,0.0070295,0.0077585,0.00855675,0.00942425,0.010448,0.011628,0.0129617,0.00666425,0.00751325,0.00846775,0.009574,0.010832,0.012177,0.013609,0.0152523,0.0171068,0.0193865,0.00416244,0.0044875,0.00505562,0.00575417,0.00658315,0.0075855,0.00876122,0.010125,0.0116768,0.0145288,0.0191075,0.0248326,0.0305087
26.215,102.9,0.78,0.0986193,0.830475,0.806828,0.791539,0.7743,0.755111,0.742627,0.736849,0.727921,1.10895,1.09324,1.08299,1.07134,1.05828,1.04674,1.03671,1.03013,1.16667,1.18963,1.212,1.23491,1.25834,1.27718,1.29142,1.31104,1.33605,1.36179,1.3929,1.40822,1.41541,0.004275,0.00460025,0.00494275,0.00536525,0.00586775,0.0063875,0.0069245,0.00759625,0.00840275,0.0092805,0.00519025,0.00566275,0.00618825,0.00679425,0.00748075,0.00822925,0.00903975,0.00994,0.01093,0.0120595,0.0039506,0.00438183,0.0050268,0.00577074,0.00661365,0.0075214,0.008494,0.00963384,0.0109409,0.0131256,0.016626,0.020773,0.0245513
27.863,81.3,0.684,-0.0194932,0.865184,0.83178,0.793895,0.768502,0.7556,0.742012,0.727738,0.709592,1.16167,1.13611,1.11563,1.09289,1.06788,1.04469,1.02332,1.00107,1.17161,1.1942,1.21365,1.23641,1.26249,1.28894,1.31577,1.33376,1.34291,1.38695,1.41759,1.40702,1.41104,0.0045275,0.0048475,0.0052185,0.00558775,0.00595525,0.006448,0.007066,0.007734,0.008452,0.0092145,0.00558425,0.0060525,0.0065535,0.00713075,0.00778425,0.00847175,0.00919325,0.00999575,0.0108793,0.0118408,0.00418388,0.00457903,0.00519163,0.00592418,0.00677668,0.00773799,0.0088081,0.00993603,0.0111218,0.0135585,0.0171216,0.0210616,0.0248638
33.631,59.7,0.604,0.538311,1.07881,1.05993,1.04247,1.02956,1.0212,1.00437,0.979073,0.964027,1.46926,1.48806,1.51775,1.53481,1.53923,1.54971,1.56625,1.57163,1.15677,1.1736,1.19608,1.22057,1.24705,1.27367,1.30045,1.33003,1.36239,1.43057,1.49911,1.57243,1.63028,0.005322,0.0058795,0.0064945,0.0071935,0.0079765,0.0088915,0.0099385,0.0110402,0.0121967,0.0136775,0.006651,0.0075105,0.0084815,0.00970525,0.0111818,0.0127347,0.0143643,0.0163475,0.0186845,0.0211625,0.00420114,0.00449624,0.00503756,0.00571322,0.00652323,0.00748288,0.00859216,0.00989531,0.0113923,0.014392,0.0191132,0.0256731,0.0319074
31.159,43.5,0.98,-0.135661,0.969797,0.933462,0.894539,0.859917,0.829598,0.800063,0.771314,0.740171,1.34878,1.32106,1.28894,1.25678,1.22456,1.18933,1.1511,1.11129,1.17073,1.19703,1.2242,1.25132,1.27841,1.30799,1.34007,1.36787,1.3914,1.42888,1.46919,1.48963,1.50183,0.00475075,0.00513725,0.00556375,0.0059885,0.0064115,0.006876,0.007382,0.00794175,0.00855525,0.00914875,0.00600125,0.00660725,0.00725775,0.00791575,0.00858125,0.00929425,0.0100547,0.0108612,0.0117138,0.0125582,0.0035703,0.00402908,0.00469465,0.00546066,0.00632712,0.00731641,0.00842852,0.00965053,0.0109824,0.0133236,0.0169552,0.0213277,0.0252571
35.073,56.1,0.7,0.285714,1.05091,1.02921,1.01008,0.991487,0.973424,0.956515,0.940759,0.922241,1.47238,1.48455,1.49337,1.4997,1.50356,1.50899,1.516,1.52404,1.15902,1.17927,1.20024,1.22905,1.2657,1.2962,1.32055,1.35577,1.40185,1.46095,1.52904,1.59495,1.65338,0.00527425,0.0057995,0.0063685,0.00700175,0.00769925,0.00848675,0.00936425,0.010353,0.011453,0.0126333,0.00662925,0.00749875,0.00852225,0.009649,0.010879,0.0122368,0.0137223,0.0154388,0.0173863,0.019644,0.00400314,0.0043612,0.00495516,0.00570841,0.00662094,0.00763955,0.00876424,0.0101465,0.0117864,0.0146245,0.0192389,0.0252925,0.0312132
32.395,66.9,0.86,-0.00679995,0.968412,0.940722,0.918196,0.892358,0.863206,0.839878,0.822371,0.809099,1.34877,1.32989,1.30912,1.29329,1.28239,1.27326,1.26588,1.25541,1.16192,1.18592,1.21034,1.23948,1.27333,1.30529,1.33534,1.36474,1.39349,1.41994,1.46836,1.52802,1.55162,0.00487675,0.00529075,0.00571625,0.006205,0.006757,0.00733075,0.00792625,0.00859975,0.00935125,0.0102763,0.00613025,0.0067905,0.0074975,0.00825275,0.00905625,0.0099575,0.0109565,0.012101,0.013391,0.014765,0.00371875,0.00416266,0.00482064,0.00560472,0.00651491,0.0075379,0.00867367,0.00994048,0.0113383,0.0136356,0.0175526,0.0226004,0.0268852
34.867,61.5,0.628,0.334495,1.04773,1.02496,1.0018,0.984803,0.973984,0.961651,0.947804,0.929938,1.45326,1.45934,1.47168,1.47998,1.48422,1.47913,1.46471,1.46883,1.1617,1.18041,1.20316,1.22802,1.25498,1.28741,1.32531,1.35868,1.38751,1.4472,1.51351,1.54182,1.5806,0.00527725,0.00579775,0.00638725,0.00702975,0.00772525,0.00854675,0.00949425,0.010574,0.011786,0.0130397,0.006686,0.00752725,0.00845375,0.009556,0.010834,0.0122348,0.0137582,0.0153607,0.0170422,0.019304,0.00420821,0.00452818,0.00509494,0.00579921,0.00664097,0.00766129,0.00886016,0.010214,0.0117228,0.0146395,0.0192883,0.0248294,0.0305074
29.099,90.3,0.636,0.442384,0.932553,0.910712,0.893628,0.874466,0.853225,0.842093,0.841071,0.830572,1.26392,1.25924,1.25626,1.25715,1.26192,1.26987,1.281,1.27878,1.15574,1.17456,1.19767,1.22196,1.24742,1.2725,1.29722,1.32505,1.356,1.39457,1.45908,1.51554,1.53997,0.00489925,0.00533425,0.00582075,0.0063915,0.0070465,0.0077415,0.0084765,0.0094375,0.0106245,0.011865,0.006057,0.00673,0.0075,0.0083735,0.0093505,0.010501,0.011825,0.0133708,0.0151383,0.016958,0.00424554,0.0045972,0.00520513,0.00593933,0.00679979,0.00778863,0.00890584,0.0102151,0.0117164,0.0143434,0.0189225,0.0247822,0.0301083
33.219,108.3,0.772,-0.0839736,0.891018,0.86282,0.834686,0.808236,0.783471,0.763901,0.749527,0.736129,1.20942,1.1861,1.16901,1.15425,1.14182,1.12565,1.10573,1.09163,1.16471,1.19093,1.21934,1.2468,1.27332,1.30073,1.32903,1.34798,1.35758,1.38825,1.44343,1.47442,1.48311,0.00453075,0.00487425,0.00524875,0.00565375,0.00608925,0.00656225,0.00707275,0.007662,0.00833,0.0091035,0.005658,0.006161,0.006671,0.00726525,0.00794375,0.00869725,0.00952575,0.0104047,0.0113343,0.0124308,0.00392696,0.00437324,0.00503788,0.00579838,0.00665473,0.00762417,0.00870669,0.00982683,0.0109846,0.013198,0.0169303,0.021234,0.0249794
27.245,48.9,0.956,-0.296257,0.86439,0.814295,0.765922,0.725643,0.693458,0.656843,0.615796,0.582417,1.17806,1.12466,1.07043,1.01706,0.964563,0.919415,0.881617,0.838453,1.17488,1.20037,1.22703,1.25213,1.27567,1.29912,1.32247,1.34402,1.36377,1.39011,1.39591,1.41726,1.43892,0.00436775,0.004601,0.004841,0.00506425,0.00527075,0.0055495,0.0059005,0.0062075,0.0064705,0.00681175,0.00537675,0.00573,0.006086,0.0064335,0.0067725,0.00710325,0.00742575,0.00781675,0.00827625,0.00870425,0.00363467,0.00409796,0.00474725,0.00547711,0.00628752,0.00718456,0.00816822,0.00925484,0.0104444,0.0124378,0.0152826,0.0191178,0.0225692
35.897,65.1,0.74,0.0610288,1.007,0.981303,0.962301,0.940628,0.916287,0.896164,0.880258,0.862885,1.421,1.41238,1.40314,1.39586,1.39054,1.38295,1.3731,1.3739,1.15906,1.18153,1.20851,1.23801,1.27002,1.3039,1.33964,1.37567,1.41199,1.44898,1.50143,1.55176,1.59302,0.00512825,0.005582,0.006056,0.00661,0.007244,0.007912,0.008614,0.009423,0.010339,0.0113735,0.00649925,0.007265,0.008089,0.00899425,0.00998075,0.011078,0.012286,0.0136197,0.0150793,0.0168615,0.00392562,0.00432274,0.00496306,0.0057307,0.00662566,0.00766859,0.00885947,0.0102149,0.011735,0.0142555,0.0184358,0.0237069,0.0287928
35.279,74.1,0.724,-0.145502,0.96346,0.930813,0.901277,0.873756,0.848249,0.825862,0.806594,0.782709,1.345,1.32392,1.30742,1.28775,1.2649,1.23447,1.19644,1.17148,1.16398,1.19076,1.21983,1.24524,1.267,1.29846,1.33965,1.37239,1.39669,1.43716,1.48289,1.48884,1.49781,0.00492125,0.0052945,0.0057035,0.006136,0.006592,0.0071015,0.0076645,0.00830625,0.00902675,0.00976675,0.0062285,0.00684275,0.00747225,0.00818125,0.00896975,0.0097935,0.0106525,0.0115152,0.0123818,0.0134617,0.00399217,0.00440977,0.00505715,0.00579342,0.00661859,0.00761234,0.00877467,0.0100304,0.0113795,0.0137517,0.0174653,0.0215873,0.0255211
34.249,104.7,0.812,0.236502,0.965251,0.946009,0.931493,0.917367,0.903634,0.888864,0.873059,0.864625,1.33431,1.34285,1.35538,1.35811,1.35103,1.35743,1.3773,1.37964,1.15367,1.17866,1.2088,1.23676,1.26255,1.28805,1.31328,1.34495,1.38306,1.43769,1.48794,1.55303,1.59564,0.00487625,0.00533,0.005818,0.00637725,0.00700775,0.00770325,0.00846375,0.00929725,0.0102037,0.011334,0.00605275,0.0067755,0.0076125,0.00856475,0.00963225,0.0107522,0.0119247,0.0133957,0.0151652,0.0169042,0.0037917,0.00423308,0.00491977,0.00570716,0.00659525,0.00759356,0.0087021,0.010009,0.0115142,0.0141529,0.0181959,0.0237252,0.0286207
