S0,L,ms,mv,b,SN112EK42.5,SN112EK47.5,SN112EK52.5,SN112EK57.5,SN112EK62.5,SN112EK67.5,SN112EK72.5,SN112EK77.5,SN112EK82.5,SN112EK87.5,SN124EK42.5,SN124EK47.5,SN124EK52.5,SN124EK57.5,SN124EK62.5,SN124EK67.5,SN124EK72.5,SN124EK77.5,SN124EK82.5,SN124EK87.5,DREK12.5,DREK17.5,DREK22.5,DREK27.5,DREK32.5,DREK37.5,DREK42.5,DREK47.5,DREK52.5,DREK60.0,DREK70.0,DREK80.0,DREK87.5,SN112EK42.5_Error,SN112EK47.5_Error,SN112EK52.5_Error,SN112EK57.5_Error,SN112EK62.5_Error,SN112EK67.5_Error,SN112EK72.5_Error,SN112EK77.5_Error,SN112EK82.5_Error,SN112EK87.5_Error,SN124EK42.5_Error,SN124EK47.5_Error,SN124EK52.5_Error,SN124EK57.5_Error,SN124EK62.5_Error,SN124EK67.5_Error,SN124EK72.5_Error,SN124EK77.5_Error,SN124EK82.5_Error,SN124EK87.5_Error,DREK12.5_Error,DREK17.5_Error,DREK22.5_Error,DREK27.5_Error,DREK32.5_Error,DREK37.5_Error,DREK42.5_Error,DREK47.5_Error,DREK52.5_Error,DREK60.0_Error,DREK70.0_Error,DREK80.0_Error,DREK87.5_Error
28.481,52.5,0.9,1.015,2,1.03138,0.999003,0.969904,0.946382,0.928439,0.910639,0.892983,0.87739,0.86386,0.852643,1.37288,1.36139,1.35042,1.34102,1.3332,1.33071,1.33355,1.33066,1.32204,1.31445,1.18377,1.19689,1.21291,1.23621,1.26679,1.29871,1.33197,1.3634,1.39299,1.42675,1.4778,1.52366,1.54168,0.00342475,0.0037215,0.0040425,0.0044165,0.0048435,0.00530825,0.00581075,0.00637125,0.00698975,0.00770775,0.0043185,0.00480125,0.00533175,0.005912,0.006542,0.00727875,0.00812225,0.00902625,0.00999075,0.011066,0.00301785,0.00317952,0.00353635,0.00401397,0.00461237,0.00531308,0.00611608,0.00701952,0.00802341,0.00971333,0.0125314,0.0160352,0.0190665
29.511,39.9,0.876,1.055,2,1.07103,1.04436,1.01918,0.997552,0.979469,0.962123,0.945514,0.931539,0.920197,0.908841,1.42209,1.41824,1.41448,1.41283,1.4133,1.41468,1.41697,1.42734,1.44578,1.45816,1.18309,1.19627,1.21247,1.23611,1.26719,1.29795,1.32838,1.35853,1.38841,1.42998,1.48487,1.55206,1.60467,0.00354625,0.00388925,0.00426175,0.00467675,0.00513425,0.00564425,0.00620675,0.00684475,0.00755825,0.0083465,0.004485,0.0050235,0.0056125,0.0062775,0.0070185,0.007851,0.008775,0.00988425,0.0111787,0.0126077,0.0029948,0.00315502,0.00351281,0.00399164,0.00459153,0.00529218,0.00609362,0.00700517,0.00802685,0.00980905,0.0127316,0.0166362,0.0202792
34.455,110.1,0.924,0.945,2,0.990081,0.960313,0.936894,0.91565,0.896581,0.875901,0.853612,0.833545,0.815702,0.803973,1.32369,1.30934,1.29762,1.28818,1.28101,1.2757,1.27226,1.26536,1.25501,1.25339,1.17821,1.19674,1.21988,1.24658,1.27685,1.30725,1.33779,1.36385,1.38543,1.41815,1.4741,1.52864,1.5591,0.003283,0.00355925,0.00387175,0.0042215,0.0046085,0.00500875,0.00542225,0.00589525,0.00642775,0.00705475,0.00414125,0.00457225,0.00504675,0.00557925,0.00616975,0.00683125,0.00756375,0.00833975,0.00915925,0.0101782,0.0030442,0.00322253,0.00360199,0.00408628,0.00467541,0.00535399,0.00612203,0.00696476,0.00788218,0.0095065,0.0122306,0.0156394,0.0186618
34.043,50.7,0.644,0.815,2,1.10663,1.08033,1.05406,1.03131,1.01208,0.993393,0.975257,0.958172,0.942139,0.92521,1.46034,1.46323,1.46818,1.47464,1.48261,1.48873,1.49301,1.50108,1.51295,1.51493,1.17673,1.18888,1.20602,1.22921,1.25846,1.28879,1.32019,1.35513,1.3936,1.44789,1.51521,1.58673,1.63773,0.0037485,0.00411175,0.00450925,0.004961,0.005467,0.0060425,0.0066875,0.007411,0.008213,0.00911425,0.004743,0.00533575,0.00599725,0.0067695,0.0076525,0.00864225,0.00973875,0.0109997,0.0124253,0.0139878,0.00315659,0.0033039,0.00365113,0.00411838,0.00470565,0.00540409,0.00621368,0.00716882,0.00826949,0.0102578,0.0135843,0.0180155,0.0221705
26.215,102.9,0.78,0.845,2,0.890366,0.858351,0.837611,0.816301,0.794422,0.7745,0.756537,0.740793,0.72727,0.716777,1.17203,1.14572,1.12041,1.09721,1.07611,1.06255,1.05652,1.04732,1.03496,1.02701,1.17378,1.19179,1.20924,1.23091,1.2568,1.28567,1.3175,1.33484,1.33768,1.34957,1.38465,1.41856,1.4329,0.00303025,0.003262,0.003544,0.00384325,0.00415975,0.0045165,0.0049135,0.0053665,0.0058755,0.00647225,0.00374075,0.0040685,0.0044275,0.00481725,0.00523775,0.005753,0.006363,0.0070135,0.0077045,0.00851625,0.00320646,0.00337133,0.00372723,0.00418742,0.00475189,0.00541475,0.00617602,0.00695767,0.00775972,0.0091925,0.0116778,0.014818,0.0175885
27.863,81.3,0.684,0.675,2,0.936289,0.896181,0.863365,0.831012,0.799123,0.775244,0.759374,0.738254,0.711883,0.693878,1.22153,1.18871,1.16331,1.13975,1.11804,1.09571,1.07277,1.04945,1.02574,1.00523,1.18338,1.20097,1.22206,1.24258,1.26252,1.28349,1.30548,1.32699,1.34801,1.38611,1.41303,1.43174,1.44866,0.003226,0.00344325,0.00369575,0.003962,0.004242,0.0045915,0.0050105,0.005424,0.005832,0.006368,0.00395625,0.004284,0.00466,0.0050705,0.0055155,0.0060025,0.0065315,0.0071065,0.0077275,0.00842475,0.00331588,0.00347628,0.00384373,0.00430124,0.00484882,0.0054821,0.00620111,0.0070173,0.00793067,0.0095845,0.0120627,0.0151792,0.0180233
27.039,93.9,0.66,0.985,2,0.971789,0.94061,0.914063,0.890156,0.868887,0.85228,0.840333,0.826655,0.811245,0.802404,1.25603,1.24164,1.22841,1.22546,1.2328,1.23376,1.22836,1.23054,1.24031,1.25254,1.16963,1.18533,1.20741,1.22573,1.24028,1.26281,1.29334,1.32054,1.34442,1.39852,1.45483,1.50931,1.56103,0.0034005,0.00369125,0.00402375,0.00439725,0.00481175,0.00530575,0.00587925,0.0064975,0.0071605,0.0079945,0.00418275,0.00462825,0.00512275,0.00573125,0.00645375,0.00722625,0.00804875,0.009052,0.010236,0.0116422,0.00329176,0.00344246,0.00381174,0.00426716,0.00480873,0.00547695,0.00627183,0.00717195,0.00817733,0.0101286,0.0132159,0.0173059,0.0212921
33.013,101.1,0.852,1.065,2,1.00858,0.980996,0.960277,0.942093,0.926444,0.911904,0.898473,0.888547,0.882126,0.87383,1.34358,1.33999,1.33976,1.33535,1.32676,1.3321,1.35137,1.36134,1.36199,1.36411,1.17504,1.19266,1.21693,1.24106,1.26504,1.29572,1.3331,1.36641,1.39565,1.42495,1.48292,1.5381,1.56127,0.00340175,0.00371125,0.00406375,0.00446,0.0049,0.005386,0.005918,0.0065385,0.0072475,0.008009,0.00429825,0.0048,0.005364,0.0059685,0.0066135,0.00741175,0.00836325,0.009371,0.010435,0.0116615,0.00308615,0.00325576,0.00363669,0.00411671,0.0046958,0.00539741,0.00622155,0.00713957,0.0081515,0.00983763,0.0127591,0.0164075,0.0196009
31.571,38.1,0.764,0.755,2,1.06938,1.03249,0.990978,0.957539,0.932175,0.90665,0.880966,0.857378,0.835885,0.815869,1.41716,1.39801,1.37692,1.35869,1.3433,1.32564,1.30571,1.28796,1.2724,1.25658,1.1848,1.2009,1.22351,1.24885,1.27693,1.30256,1.32574,1.35508,1.39057,1.43043,1.47256,1.5126,1.54044,0.003579,0.00387,0.00416,0.0045015,0.0048945,0.00532275,0.00578625,0.006291,0.006837,0.00745575,0.00449475,0.004959,0.005455,0.00600875,0.00662025,0.00727275,0.00796625,0.0087495,0.0096225,0.0105975,0.00308561,0.00325474,0.00362992,0.00411312,0.00470433,0.00537739,0.00613228,0.00702706,0.00806172,0.00979899,0.0125585,0.0160353,0.0192036
30.953,70.5,0.652,1.075,2,1.08045,1.05654,1.03551,1.01638,0.999134,0.982831,0.967468,0.955002,0.945433,0.936497,1.41169,1.41804,1.42325,1.43413,1.4507,1.46651,1.48157,1.49806,1.51597,1.5345,1.17366,1.18429,1.19851,1.21663,1.23864,1.26886,1.30729,1.34264,1.37493,1.43202,1.51223,1.58632,1.63878,0.0036895,0.004059,0.004473,0.0049445,0.0054735,0.00606875,0.00673025,0.0075085,0.0084035,0.00942725,0.004634,0.005238,0.005908,0.006705,0.007629,0.00868375,0.00986925,0.011256,0.012844,0.0146877,0.00315905,0.0033027,0.00364517,0.00409748,0.00465964,0.00536468,0.0062126,0.00717741,0.00825909,0.0103062,0.0137976,0.018414,0.0228094
