S0,L,ms,mv,b,SN112EK42.5,SN112EK47.5,SN112EK52.5,SN112EK57.5,SN112EK62.5,SN112EK67.5,SN112EK72.5,SN112EK77.5,SN112EK82.5,SN112EK87.5,SN124EK42.5,SN124EK47.5,SN124EK52.5,SN124EK57.5,SN124EK62.5,SN124EK67.5,SN124EK72.5,SN124EK77.5,SN124EK82.5,SN124EK87.5,DREK12.5,DREK17.5,DREK22.5,DREK27.5,DREK32.5,DREK37.5,DREK42.5,DREK47.5,DREK52.5,DREK60.0,DREK70.0,DREK80.0,DREK87.5,SN112EK42.5_Error,SN112EK47.5_Error,SN112EK52.5_Error,SN112EK57.5_Error,SN112EK62.5_Error,SN112EK67.5_Error,SN112EK72.5_Error,SN112EK77.5_Error,SN112EK82.5_Error,SN112EK87.5_Error,SN124EK42.5_Error,SN124EK47.5_Error,SN124EK52.5_Error,SN124EK57.5_Error,SN124EK62.5_Error,SN124EK67.5_Error,SN124EK72.5_Error,SN124EK77.5_Error,SN124EK82.5_Error,SN124EK87.5_Error,DREK12.5_Error,DREK17.5_Error,DREK22.5_Error,DREK27.5_Error,DREK32.5_Error,DREK37.5_Error,DREK42.5_Error,DREK47.5_Error,DREK52.5_Error,DREK60.0_Error,DREK70.0_Error,DREK80.0_Error,DREK87.5_Error
28.481,52.5,0.9,1.015,2,1.03135,0.99931,0.97105,0.947724,0.929333,0.910232,0.890421,0.873841,0.860492,0.849421,1.37152,1.35912,1.34878,1.33907,1.32999,1.32558,1.32585,1.32395,1.31987,1.31292,1.18294,1.19683,1.21439,1.23837,1.26879,1.29955,1.33064,1.36067,1.38962,1.42229,1.4732,1.52469,1.5457,0.0027965,0.0030405,0.0033055,0.00361075,0.00395625,0.00432875,0.00472825,0.00517975,0.00568325,0.0062725,0.00352325,0.0039145,0.0043475,0.00482075,0.00533425,0.00592675,0.00659825,0.00733625,0.00814075,0.0090195,0.00246252,0.00259652,0.00289244,0.00328424,0.00377194,0.00434029,0.00498927,0.00572091,0.0065352,0.00790694,0.0102031,0.0131025,0.015606
29.511,39.9,0.876,1.055,2,1.07315,1.04604,1.01971,0.996705,0.97703,0.959353,0.943675,0.929591,0.917101,0.904641,1.42118,1.4184,1.41782,1.41675,1.41519,1.41658,1.42094,1.42896,1.44066,1.45241,1.18344,1.19625,1.21188,1.23512,1.26594,1.29586,1.32488,1.35662,1.39109,1.43535,1.49154,1.55438,1.60588,0.0029005,0.00317925,0.00347975,0.003814,0.004182,0.00459725,0.00505975,0.005576,0.006146,0.0067795,0.00365725,0.00410125,0.00459575,0.005142,0.00574,0.00642175,0.00718725,0.00807525,0.00908575,0.0102407,0.00244605,0.00257581,0.0028663,0.00325617,0.00374542,0.00431328,0.00495975,0.00571129,0.00656789,0.00804132,0.0104456,0.0135931,0.0165614
34.455,110.1,0.924,0.945,2,0.993604,0.963716,0.937219,0.913735,0.893261,0.873003,0.852959,0.835891,0.8218,0.809084,1.32173,1.30714,1.29712,1.28972,1.28495,1.27925,1.27263,1.26418,1.2539,1.24976,1.17826,1.19722,1.22079,1.24798,1.27877,1.3064,1.33086,1.35692,1.38459,1.42545,1.47915,1.51926,1.54492,0.0026905,0.00291575,0.00316125,0.0034375,0.0037445,0.00407325,0.00442375,0.00483,0.005292,0.0058015,0.00337775,0.00372875,0.00412025,0.0045595,0.0050465,0.0055835,0.0061705,0.0068,0.007472,0.00828575,0.00248516,0.00263123,0.00294182,0.00333901,0.00382277,0.00436713,0.00497207,0.00566112,0.00643426,0.00779788,0.0100067,0.0126865,0.0151161
34.043,50.7,0.644,0.815,2,1.1047,1.07866,1.05318,1.031,1.01212,0.992929,0.973436,0.95656,0.942301,0.925417,1.46074,1.46312,1.46721,1.4731,1.4808,1.48653,1.4903,1.49579,1.50299,1.50844,1.17618,1.18934,1.20688,1.23057,1.26042,1.29118,1.32287,1.35707,1.39379,1.44642,1.51455,1.57972,1.63063,0.00305525,0.00335225,0.00367875,0.00404975,0.00446525,0.00492975,0.00544325,0.006037,0.006711,0.00744225,0.00387125,0.00435525,0.00489575,0.005526,0.006246,0.007045,0.007923,0.00893275,0.0100742,0.0113805,0.00257653,0.0026993,0.00298364,0.00336624,0.00384712,0.00441913,0.00508229,0.0058605,0.00675377,0.00837061,0.0110785,0.0146296,0.0180402
26.215,102.9,0.78,0.845,2,0.895305,0.862142,0.837326,0.815105,0.795478,0.775871,0.756282,0.740322,0.727989,0.716824,1.17155,1.14576,1.12251,1.10207,1.08443,1.06964,1.05769,1.04709,1.03782,1.03065,1.17287,1.19119,1.2096,1.23107,1.25558,1.28173,1.30951,1.32922,1.34085,1.35786,1.38897,1.42013,1.43793,0.0024875,0.0026725,0.0028895,0.003133,0.003403,0.0036965,0.0040135,0.00438425,0.00480875,0.00529,0.0030545,0.003325,0.003625,0.00395525,0.00431575,0.0047315,0.0052025,0.00573,0.006314,0.0069805,0.00261746,0.00275236,0.00304443,0.00341898,0.00387601,0.00440678,0.00501131,0.00566027,0.00635366,0.007556,0.00956932,0.0121253,0.0144271
27.863,81.3,0.684,0.675,2,0.937673,0.896903,0.861137,0.829472,0.801907,0.778415,0.758993,0.736779,0.71177,0.694292,1.22486,1.19113,1.16212,1.13842,1.12001,1.09684,1.0689,1.04443,1.02343,1.00409,1.18038,1.19879,1.22163,1.24341,1.26413,1.28536,1.30707,1.32869,1.35019,1.38519,1.40868,1.42824,1.44616,0.00263775,0.0028115,0.0030065,0.003227,0.003473,0.0037595,0.0040865,0.0044225,0.0047675,0.005207,0.0032415,0.00350625,0.00380075,0.004137,0.004515,0.00490925,0.00531975,0.00578325,0.00629975,0.00686725,0.00270022,0.00283341,0.00313771,0.00351471,0.00396441,0.00448292,0.00507024,0.00573713,0.00648359,0.00781532,0.00982166,0.0123752,0.0146942
27.039,93.9,0.66,0.985,2,0.968046,0.938211,0.915199,0.893412,0.87285,0.856366,0.84396,0.829921,0.814248,0.804108,1.25574,1.24146,1.22889,1.22566,1.23175,1.23362,1.23126,1.23211,1.23618,1.248,1.1689,1.18407,1.20467,1.22396,1.24194,1.26665,1.29809,1.32358,1.34313,1.39222,1.44992,1.50188,1.55218,0.0027665,0.003008,0.00329,0.0036035,0.0039485,0.00435225,0.00481475,0.0053225,0.0058755,0.006547,0.00341425,0.00377975,0.00418725,0.00468275,0.00526625,0.005901,0.006587,0.00739425,0.00832275,0.00946475,0.00268532,0.00280689,0.00310442,0.00347917,0.00393117,0.00448507,0.00514089,0.00586924,0.00667012,0.00823356,0.0107531,0.0140539,0.0172994
33.013,101.1,0.852,1.065,2,1.00861,0.981234,0.96072,0.94179,0.924444,0.909784,0.897809,0.888665,0.882352,0.873092,1.34149,1.33642,1.33461,1.33367,1.3336,1.33848,1.34833,1.35576,1.36077,1.36388,1.17587,1.19363,1.21609,1.23983,1.26486,1.29523,1.33094,1.3624,1.38962,1.42972,1.48681,1.534,1.56237,0.0027765,0.00303025,0.00332075,0.003641,0.003991,0.004385,0.004823,0.00533175,0.00591125,0.006524,0.00350375,0.00390725,0.00435975,0.00486825,0.00543275,0.006084,0.006822,0.00763325,0.00851775,0.0095165,0.0025205,0.00265939,0.0029667,0.00335842,0.00383455,0.00440507,0.00506999,0.00581012,0.00662547,0.00806714,0.0104372,0.013361,0.0160035
31.571,38.1,0.764,0.755,2,1.06873,1.03198,0.99257,0.958395,0.929454,0.901989,0.876003,0.852241,0.830706,0.812467,1.4184,1.39978,1.3793,1.35963,1.34078,1.32139,1.30145,1.28496,1.27191,1.25816,1.18503,1.20125,1.22341,1.24812,1.27536,1.30192,1.32779,1.35736,1.39062,1.43115,1.47577,1.51988,1.54871,0.0029195,0.0031575,0.0034005,0.00367575,0.00398325,0.004321,0.004689,0.0051045,0.0055675,0.0060865,0.0036745,0.004057,0.004465,0.0049095,0.0053905,0.00591525,0.00648375,0.00713425,0.00786675,0.00867675,0.00251963,0.00265808,0.00296395,0.00335644,0.00383555,0.00438868,0.00501583,0.00574682,0.00658165,0.00800387,0.0102685,0.0131796,0.0157999
30.953,70.5,0.652,1.075,2,1.08018,1.0571,1.03736,1.01813,0.999406,0.98323,0.969599,0.955051,0.939584,0.928312,1.41103,1.41686,1.42196,1.43414,1.45339,1.47086,1.48653,1.50136,1.51534,1.53093,1.17345,1.18404,1.19849,1.21711,1.23991,1.26987,1.30698,1.34075,1.37118,1.43206,1.51493,1.5929,1.64933,0.0030095,0.003316,0.003662,0.0040465,0.0044695,0.0049565,0.0055075,0.00612625,0.00681275,0.007624,0.003783,0.0042745,0.0048215,0.005479,0.006247,0.007119,0.008095,0.00921525,0.0104797,0.0119542,0.00257962,0.00269628,0.00297586,0.0033463,0.0038076,0.00438211,0.00506983,0.005852,0.00672862,0.00842275,0.0112889,0.0151039,0.0187232
