S0,L,ms,fi,SN112EK42.5,SN112EK47.5,SN112EK52.5,SN112EK57.5,SN112EK62.5,SN112EK67.5,SN112EK72.5,SN112EK77.5,SN112EK82.5,SN112EK87.5,SN124EK42.5,SN124EK47.5,SN124EK52.5,SN124EK57.5,SN124EK62.5,SN124EK67.5,SN124EK72.5,SN124EK77.5,SN124EK82.5,SN124EK87.5,SN112EK42.5_Error,SN112EK47.5_Error,SN112EK52.5_Error,SN112EK57.5_Error,SN112EK62.5_Error,SN112EK67.5_Error,SN112EK72.5_Error,SN112EK77.5_Error,SN112EK82.5_Error,SN112EK87.5_Error,SN124EK42.5_Error,SN124EK47.5_Error,SN124EK52.5_Error,SN124EK57.5_Error,SN124EK62.5_Error,SN124EK67.5_Error,SN124EK72.5_Error,SN124EK77.5_Error,SN124EK82.5_Error,SN124EK87.5_Error
29.511,39.9,0.876,0.193685,1.07154,1.04612,1.02252,1.00012,0.978932,0.959587,0.942084,0.931315,0.92728,0.914684,1.42042,1.41804,1.41559,1.41541,1.41752,1.42294,1.43166,1.43992,1.44773,1.45351,0.005016,0.00550875,0.00604625,0.0066245,0.0072435,0.0079505,0.0087455,0.0096805,0.0107555,0.0118475,0.00633075,0.0071005,0.0079415,0.008897,0.009967,0.0111907,0.0125682,0.0141117,0.0158212,0.0177402
34.043,50.7,0.644,0.325801,1.10845,1.08252,1.05568,1.03365,1.0164,0.999977,0.984372,0.966254,0.945623,0.926977,1.45797,1.46049,1.46738,1.47636,1.48741,1.49533,1.50014,1.50728,1.51676,1.51394,0.005317,0.005836,0.006398,0.00704675,0.00778225,0.00861875,0.00955625,0.0105605,0.0116315,0.0129065,0.0066905,0.00752675,0.00847425,0.009585,0.010859,0.012282,0.013854,0.0156245,0.0175935,0.0197548
26.215,102.9,0.78,0.0986193,0.892733,0.860008,0.836729,0.812716,0.787967,0.769182,0.756361,0.742064,0.726293,0.715813,1.16804,1.14187,1.12011,1.09975,1.08081,1.0696,1.06612,1.05542,1.03751,1.02876,0.004299,0.00462575,0.00501525,0.00542,0.00584,0.00634625,0.00693875,0.00759075,0.00830225,0.00916125,0.00526675,0.0057365,0.0062755,0.00684625,0.00744875,0.008196,0.009088,0.0100018,0.0109373,0.0120713
27.863,81.3,0.684,-0.0194932,0.933815,0.89262,0.860499,0.827827,0.794602,0.772546,0.761658,0.742244,0.714304,0.695376,1.22525,1.19187,1.16096,1.13757,1.1217,1.10086,1.07505,1.05096,1.02859,1.00512,0.00455775,0.0048565,0.0052075,0.00557425,0.00595675,0.0064685,0.0071095,0.00771725,0.00829175,0.00903975,0.00561875,0.006077,0.006573,0.0071565,0.0078275,0.008527,0.009255,0.0100635,0.0109525,0.011901
27.039,93.9,0.66,0.499923,0.969988,0.940322,0.915974,0.892061,0.868584,0.850669,0.838317,0.827497,0.818211,0.813977,1.25701,1.24246,1.22513,1.22307,1.23628,1.24081,1.23668,1.23966,1.24977,1.25676,0.00480375,0.00522675,0.00571625,0.00624325,0.00680775,0.00749325,0.00829975,0.00920875,0.0102203,0.0114565,0.00591825,0.00654575,0.00722525,0.0080995,0.0091685,0.0102922,0.0114708,0.012915,0.014625,0.0165305
33.013,101.1,0.852,0.234742,1.00687,0.982024,0.966033,0.950965,0.936822,0.919535,0.899104,0.883726,0.873398,0.866572,1.33975,1.33848,1.34147,1.33476,1.31836,1.32513,1.35509,1.3701,1.37016,1.37584,0.004809,0.005261,0.005781,0.00635825,0.00699275,0.0076595,0.0083585,0.00917975,0.0101233,0.0112183,0.006064,0.00678625,0.00760275,0.0084375,0.0092905,0.0104288,0.0118522,0.013325,0.014847,0.0166493
31.571,38.1,0.764,-0.0156028,1.07136,1.03432,0.989518,0.953847,0.927306,0.903506,0.882447,0.859058,0.833338,0.81187,1.41497,1.39395,1.36849,1.35212,1.34484,1.33129,1.31144,1.28895,1.2638,1.24049,0.005075,0.0054825,0.0058695,0.0063395,0.0068925,0.00751375,0.00820325,0.008909,0.009631,0.0104902,0.0063455,0.00699,0.007668,0.00846525,0.00938175,0.0103372,0.0113317,0.0123895,0.0135105,0.0147793
30.953,70.5,0.652,0.60351,1.08399,1.05786,1.03143,1.01289,1.00224,0.985389,0.962321,0.951671,0.953438,0.945246,1.41331,1.41997,1.42407,1.43275,1.446,1.46357,1.48544,1.50418,1.51979,1.52781,0.00523525,0.00574425,0.00629475,0.0069675,0.0077625,0.008598,0.009474,0.0106035,0.0119865,0.0134155,0.00656775,0.00742275,0.00835825,0.00946625,0.0107467,0.0122612,0.0140097,0.0159922,0.0182087,0.0206433
34.661,68.7,0.844,0.115315,1.06594,1.03735,1.01241,0.987419,0.962376,0.940749,0.922539,0.907533,0.895732,0.886454,1.42839,1.42352,1.42079,1.42473,1.43534,1.4315,1.41319,1.40484,1.40644,1.41783,0.00504925,0.005516,0.006024,0.006575,0.007169,0.00784275,0.00859625,0.0094455,0.0103905,0.0115115,0.00643225,0.00718875,0.00802225,0.00901025,0.0101527,0.0112855,0.0124085,0.0137348,0.0152643,0.0172255
26.627,88.5,0.676,0.0806885,0.917062,0.879801,0.845971,0.81902,0.798949,0.775767,0.749473,0.728574,0.713067,0.700794,1.18823,1.15872,1.13377,1.11366,1.09839,1.07766,1.05146,1.03116,1.01675,1.01028,0.00451625,0.004834,0.005176,0.00559575,0.00609325,0.0066,0.007116,0.007723,0.008421,0.0092565,0.0055035,0.0059655,0.0064705,0.0070775,0.0077865,0.0084935,0.0091985,0.010053,0.011057,0.0122752
