S0,L,ms,mv,b,SN112EK42.5,SN112EK47.5,SN112EK52.5,SN112EK57.5,SN112EK62.5,SN112EK67.5,SN112EK72.5,SN112EK77.5,SN112EK82.5,SN112EK87.5,SN124EK42.5,SN124EK47.5,SN124EK52.5,SN124EK57.5,SN124EK62.5,SN124EK67.5,SN124EK72.5,SN124EK77.5,SN124EK82.5,SN124EK87.5,DREK12.5,DREK17.5,DREK22.5,DREK27.5,DREK32.5,DREK37.5,DREK42.5,DREK47.5,DREK52.5,DREK60.0,DREK70.0,DREK80.0,DREK87.5,SN112EK42.5_Error,SN112EK47.5_Error,SN112EK52.5_Error,SN112EK57.5_Error,SN112EK62.5_Error,SN112EK67.5_Error,SN112EK72.5_Error,SN112EK77.5_Error,SN112EK82.5_Error,SN112EK87.5_Error,SN124EK42.5_Error,SN124EK47.5_Error,SN124EK52.5_Error,SN124EK57.5_Error,SN124EK62.5_Error,SN124EK67.5_Error,SN124EK72.5_Error,SN124EK77.5_Error,SN124EK82.5_Error,SN124EK87.5_Error,DREK12.5_Error,DREK17.5_Error,DREK22.5_Error,DREK27.5_Error,DREK32.5_Error,DREK37.5_Error,DREK42.5_Error,DREK47.5_Error,DREK52.5_Error,DREK60.0_Error,DREK70.0_Error,DREK80.0_Error,DREK87.5_Error
28.481,52.5,0.9,1.015,2,1.03122,0.999626,0.969805,0.946462,0.929598,0.911215,0.891312,0.875634,0.864181,0.854016,1.37153,1.35905,1.35106,1.34199,1.33184,1.32777,1.32978,1.32459,1.3122,1.30088,1.18549,1.19914,1.21492,1.2401,1.27469,1.30487,1.33064,1.36031,1.3939,1.42551,1.47512,1.51563,1.52328,0.0048445,0.005267,0.005715,0.00624375,0.00685325,0.00750725,0.00820575,0.00900075,0.00989225,0.0109102,0.0060935,0.0067785,0.0075595,0.00838175,0.00924525,0.0102755,0.0114725,0.012729,0.014045,0.0154903,0.00427317,0.00450391,0.0050074,0.00569423,0.00656441,0.00754426,0.00863376,0.0099077,0.0113661,0.0137226,0.0177047,0.0225696,0.0266296
29.511,39.9,0.876,1.055,2,1.07154,1.04612,1.02252,1.00012,0.978932,0.959587,0.942084,0.931315,0.92728,0.914684,1.42042,1.41804,1.41559,1.41541,1.41752,1.42294,1.43166,1.43992,1.44773,1.45351,1.1802,1.19332,1.20873,1.23233,1.26413,1.29541,1.32617,1.35601,1.38491,1.43216,1.50178,1.55374,1.58981,0.005016,0.00550875,0.00604625,0.0066245,0.0072435,0.0079505,0.0087455,0.0096805,0.0107555,0.0118475,0.00633075,0.0071005,0.0079415,0.008897,0.009967,0.0111907,0.0125682,0.0141117,0.0158212,0.0177402,0.00422586,0.00445228,0.00495311,0.00562642,0.00647222,0.00746294,0.00859859,0.00988411,0.0113195,0.0138956,0.0182323,0.0235034,0.0283881
34.455,110.1,0.924,0.945,2,0.992716,0.962099,0.93842,0.916021,0.894903,0.873115,0.850656,0.831706,0.816264,0.807109,1.31925,1.3056,1.29244,1.28415,1.28074,1.27579,1.26932,1.2615,1.25233,1.25933,1.17897,1.19803,1.22179,1.2447,1.26676,1.29517,1.32991,1.3574,1.37763,1.41703,1.47729,1.52574,1.56038,0.0046515,0.00504225,0.00549075,0.00597925,0.00650775,0.00706125,0.00763975,0.0083135,0.0090825,0.0099995,0.00583075,0.00643825,0.00709675,0.0078555,0.0087145,0.00964975,0.0106613,0.0117337,0.0128673,0.0144242,0.00430888,0.00456459,0.00510436,0.00576737,0.00655363,0.00749815,0.00860093,0.00979569,0.0110824,0.0134388,0.0173219,0.0220195,0.0263619
34.043,50.7,0.644,0.815,2,1.10845,1.08252,1.05568,1.03365,1.0164,0.999977,0.984372,0.966254,0.945623,0.926977,1.45797,1.46049,1.46738,1.47636,1.48741,1.49533,1.50014,1.50728,1.51676,1.51394,1.17653,1.18926,1.2087,1.23249,1.26062,1.28839,1.31579,1.34992,1.39076,1.4463,1.51,1.58266,1.63338,0.005317,0.005836,0.006398,0.00704675,0.00778225,0.00861875,0.00955625,0.0105605,0.0116315,0.0129065,0.0066905,0.00752675,0.00847425,0.009585,0.010859,0.012282,0.013854,0.0156245,0.0175935,0.0197548,0.00446591,0.0046764,0.00517675,0.00584006,0.00666633,0.00763915,0.00875851,0.010106,0.0116815,0.0145058,0.0191593,0.0253997,0.0312378
26.215,102.9,0.78,0.845,2,0.892733,0.860008,0.836729,0.812716,0.787967,0.769182,0.756361,0.742064,0.726293,0.715813,1.16804,1.14187,1.12011,1.09975,1.08081,1.0696,1.06612,1.05542,1.03751,1.02876,1.17199,1.19163,1.21384,1.23614,1.25855,1.28294,1.30932,1.32797,1.3389,1.36284,1.40029,1.42549,1.43725,0.004299,0.00462575,0.00501525,0.00542,0.00584,0.00634625,0.00693875,0.00759075,0.00830225,0.00916125,0.00526675,0.0057365,0.0062755,0.00684625,0.00744875,0.008196,0.009088,0.0100018,0.0109373,0.0120713,0.00452722,0.00476717,0.00529243,0.00594632,0.00672883,0.00763865,0.00867579,0.00980036,0.0110124,0.0131567,0.0166895,0.0210653,0.0249802
27.863,81.3,0.684,0.675,2,0.933815,0.89262,0.860499,0.827827,0.794602,0.772546,0.761658,0.742244,0.714304,0.695376,1.22525,1.19187,1.16096,1.13757,1.1217,1.10086,1.07505,1.05096,1.02859,1.00512,1.18252,1.20036,1.22114,1.24048,1.25837,1.28266,1.31333,1.33563,1.34955,1.39406,1.41808,1.42865,1.44528,0.00455775,0.0048565,0.0052075,0.00557425,0.00595675,0.0064685,0.0071095,0.00771725,0.00829175,0.00903975,0.00561875,0.006077,0.006573,0.0071565,0.0078275,0.008527,0.009255,0.0100635,0.0109525,0.011901,0.00468383,0.00490971,0.00542665,0.0060681,0.00683405,0.00775794,0.00883976,0.00999379,0.01122,0.0136314,0.0170989,0.0214414,0.025432
27.039,93.9,0.66,0.985,2,0.969988,0.940322,0.915974,0.892061,0.868584,0.850669,0.838317,0.827497,0.818211,0.813977,1.25701,1.24246,1.22513,1.22307,1.23628,1.24081,1.23668,1.23966,1.24977,1.25676,1.16603,1.18226,1.2084,1.22776,1.24035,1.26337,1.29681,1.32163,1.33784,1.39824,1.46709,1.51301,1.54397,0.00480375,0.00522675,0.00571625,0.00624325,0.00680775,0.00749325,0.00829975,0.00920875,0.0102203,0.0114565,0.00591825,0.00654575,0.00722525,0.0080995,0.0091685,0.0102922,0.0114708,0.012915,0.014625,0.0165305,0.00463826,0.00485343,0.00539297,0.00604174,0.00679976,0.00775122,0.00889611,0.0101517,0.0115179,0.0143512,0.0188669,0.0245404,0.0297435
33.013,101.1,0.852,1.065,2,1.00687,0.982024,0.966033,0.950965,0.936822,0.919535,0.899104,0.883726,0.873398,0.866572,1.33975,1.33848,1.34147,1.33476,1.31836,1.32513,1.35509,1.3701,1.37016,1.37584,1.17599,1.1932,1.21731,1.24074,1.26349,1.29376,1.33156,1.36329,1.38895,1.40547,1.47524,1.55973,1.58773,0.004809,0.005261,0.005781,0.00635825,0.00699275,0.0076595,0.0083585,0.00917975,0.0101233,0.0112183,0.006064,0.00678625,0.00760275,0.0084375,0.0092905,0.0104288,0.0118522,0.013325,0.014847,0.0166493,0.00436693,0.00460498,0.00514386,0.00581903,0.00663049,0.00762289,0.00879625,0.0100791,0.0114714,0.0136992,0.0179568,0.0235136,0.028161
31.571,38.1,0.764,0.755,2,1.07136,1.03432,0.989518,0.953847,0.927306,0.903506,0.882447,0.859058,0.833338,0.81187,1.41497,1.39395,1.36849,1.35212,1.34484,1.33129,1.31144,1.28895,1.2638,1.24049,1.18781,1.20458,1.22812,1.25266,1.2782,1.30102,1.32113,1.34885,1.38418,1.4346,1.48003,1.50886,1.52804,0.005075,0.0054825,0.0058695,0.0063395,0.0068925,0.00751375,0.00820325,0.008909,0.009631,0.0104902,0.0063455,0.00699,0.007668,0.00846525,0.00938175,0.0103372,0.0113317,0.0123895,0.0135105,0.0147793,0.00437294,0.00461762,0.00515633,0.00583747,0.00666104,0.00759599,0.00864232,0.00989262,0.0113469,0.0139165,0.0178571,0.0226171,0.0269114
30.953,70.5,0.652,1.075,2,1.08399,1.05786,1.03143,1.01289,1.00224,0.985389,0.962321,0.951671,0.953438,0.945246,1.41331,1.41997,1.42407,1.43275,1.446,1.46357,1.48544,1.50418,1.51979,1.52781,1.17216,1.18412,1.20156,1.21934,1.23745,1.26583,1.30449,1.34302,1.38142,1.42887,1.51547,1.58727,1.61677,0.00523525,0.00574425,0.00629475,0.0069675,0.0077625,0.008598,0.009474,0.0106035,0.0119865,0.0134155,0.00656775,0.00742275,0.00835825,0.00946625,0.0107467,0.0122612,0.0140097,0.0159922,0.0182087,0.0206433,0.00446098,0.0046702,0.00516899,0.00580525,0.00657899,0.00756768,0.00877133,0.0101605,0.0117352,0.0145183,0.0195957,0.026018,0.0317745
34.661,68.7,0.844,0.935,2,1.06594,1.03735,1.01241,0.987419,0.962376,0.940749,0.922539,0.907533,0.895732,0.886454,1.42839,1.42352,1.42079,1.42473,1.43534,1.4315,1.41319,1.40484,1.40644,1.41783,1.18883,1.20481,1.22065,1.24424,1.27558,1.30776,1.34077,1.37284,1.40395,1.46811,1.5269,1.55928,1.59965,0.00504925,0.005516,0.006024,0.006575,0.007169,0.00784275,0.00859625,0.0094455,0.0103905,0.0115115,0.00643225,0.00718875,0.00802225,0.00901025,0.0101527,0.0112855,0.0124085,0.0137348,0.0152643,0.0172255,0.00432229,0.00456408,0.00507417,0.00575978,0.00662093,0.00763242,0.00879424,0.0100999,0.0115493,0.0143466,0.0185731,0.023566,0.0284981
26.627,88.5,0.676,0.715,2,0.917062,0.879801,0.845971,0.81902,0.798949,0.775767,0.749473,0.728574,0.713067,0.700794,1.18823,1.15872,1.13377,1.11366,1.09839,1.07766,1.05146,1.03116,1.01675,1.01028,1.18056,1.19781,1.21569,1.23524,1.25647,1.27684,1.29635,1.3177,1.3409,1.36755,1.3964,1.42077,1.44182,0.00451625,0.004834,0.005176,0.00559575,0.00609325,0.0066,0.007116,0.007723,0.008421,0.0092565,0.0055035,0.0059655,0.0064705,0.0070775,0.0077865,0.0084935,0.0091985,0.010053,0.011057,0.0122752,0.00473176,0.00495406,0.00545844,0.00609824,0.00687346,0.00777387,0.00879949,0.00996173,0.0112606,0.0135383,0.0171709,0.0216845,0.0259244
30.335,115.5,0.62,1.045,2,0.988188,0.955178,0.922611,0.900787,0.889708,0.876141,0.860086,0.844221,0.828543,0.820312,1.27342,1.26426,1.2579,1.26252,1.27812,1.27702,1.25923,1.25908,1.27656,1.2904,1.17072,1.18119,1.19574,1.21317,1.23348,1.25889,1.28941,1.32461,1.36447,1.41939,1.4609,1.51676,1.57307,0.00491925,0.00533175,0.00577325,0.00634225,0.00703875,0.00779075,0.00859825,0.009537,0.010607,0.0119113,0.00606325,0.00675475,0.00753625,0.0084975,0.0096385,0.0107745,0.0119055,0.0134077,0.0152812,0.0174345,0.00472004,0.00490488,0.00538602,0.00601877,0.00680312,0.00776858,0.00891516,0.0102818,0.0118686,0.014712,0.0190414,0.0251738,0.0312176
28.893,119.1,0.988,0.735,2,0.892149,0.848298,0.808981,0.774006,0.74337,0.71379,0.685264,0.661448,0.642343,0.619975,1.15997,1.12207,1.08789,1.05191,1.01411,0.98099,0.952549,0.922941,0.892165,0.866586,1.16618,1.18896,1.21568,1.23856,1.2576,1.27846,1.30112,1.32349,1.34557,1.36178,1.38267,1.39199,1.39858,0.00387025,0.0040635,0.0042765,0.0045175,0.0047865,0.005076,0.005386,0.0057355,0.0061245,0.00652175,0.00469775,0.0049985,0.0053235,0.0056535,0.0059885,0.00636425,0.00678075,0.0072085,0.0076475,0.00816775,0.00417173,0.00442849,0.00492898,0.00550831,0.00616649,0.00691567,0.00775584,0.00869434,0.00973114,0.011387,0.0140378,0.0170761,0.0198348
