S0,L,ms,fi,DREK12.5,DREK17.5,DREK22.5,DREK27.5,DREK32.5,DREK37.5,DREK42.5,DREK47.5,DREK52.5,DREK60.0,DREK70.0,DREK80.0,DREK87.5,DREK17.5_Error,DREK22.5_Error,DREK27.5_Error,DREK32.5_Error,DREK37.5_Error,DREK42.5_Error,DREK47.5_Error,DREK52.5_Error,DREK60.0_Error,DREK70.0_Error,DREK80.0_Error,DREK87.5_Error
34.661,68.7,0.844,0.115315,1.18883,1.20481,1.22065,1.24424,1.27558,1.30776,1.34077,1.37284,1.40395,1.46811,1.5269,1.55928,1.59965,0.00456408,0.00507417,0.00575978,0.00662093,0.00763242,0.00879424,0.0100999,0.0115493,0.0143466,0.0185731,0.023566,0.0284981
26.627,88.5,0.676,0.0806885,1.18056,1.19781,1.21569,1.23524,1.25647,1.27684,1.29635,1.3177,1.3409,1.36755,1.3964,1.42077,1.44182,0.00495406,0.00545844,0.00609824,0.00687346,0.00777387,0.00879949,0.00996173,0.0112606,0.0135383,0.0171709,0.0216845,0.0259244
30.335,115.5,0.62,0.655965,1.17072,1.18119,1.19574,1.21317,1.23348,1.25889,1.28941,1.32461,1.36447,1.41939,1.4609,1.51676,1.57307,0.00490488,0.00538602,0.00601877,0.00680312,0.00776858,0.00891516,0.0102818,0.0118686,0.014712,0.0190414,0.0251738,0.0312176
28.893,119.1,0.988,-0.348398,1.16618,1.18896,1.21568,1.23856,1.2576,1.27846,1.30112,1.32349,1.34557,1.36178,1.38267,1.39199,1.39858,0.00442849,0.00492898,0.00550831,0.00616649,0.00691567,0.00775584,0.00869434,0.00973114,0.011387,0.0140378,0.0170761,0.0198348
30.129,83.1,0.748,-0.213489,1.18201,1.20128,1.22548,1.25109,1.27811,1.30522,1.33242,1.35415,1.3704,1.38154,1.40953,1.44634,1.44968,0.00476023,0.00528535,0.00593882,0.00672064,0.00761907,0.0086341,0.00972593,0.0108945,0.0128252,0.0160818,0.0202063,0.0235478
31.777,92.1,0.828,0.241546,1.17488,1.19301,1.22091,1.24724,1.272,1.29425,1.31397,1.34274,1.38054,1.42403,1.48462,1.53102,1.54224,0.00462746,0.00518549,0.005879,0.00670799,0.00764487,0.00868964,0.00996731,0.0114779,0.013996,0.0181307,0.023244,0.027633
35.485,57.9,0.916,0.170044,1.17761,1.19366,1.21451,1.24208,1.27637,1.30897,1.33989,1.3779,1.42303,1.4756,1.52557,1.59645,1.66634,0.00440087,0.00492071,0.00561415,0.00648121,0.00748572,0.00862768,0.00999009,0.0115729,0.0142499,0.0184179,0.0240888,0.0295702
26.421,54.3,0.788,-0.00484982,1.18521,1.20093,1.2223,1.24568,1.27107,1.29376,1.31377,1.33404,1.3546,1.39093,1.42484,1.45239,1.47982,0.00468488,0.00522135,0.0058966,0.00671062,0.00763452,0.00866829,0.00982749,0.0111121,0.0134386,0.0170937,0.021617,0.0258115
29.717,32.7,0.708,-0.162374,1.1848,1.20201,1.22467,1.24902,1.27504,1.29892,1.32064,1.34938,1.38513,1.40812,1.42438,1.4575,1.49099,0.00468956,0.00520798,0.00586386,0.0066572,0.00756385,0.00858382,0.00979198,0.0111884,0.0133715,0.0167611,0.0212372,0.0254778
34.867,61.5,0.628,0.334495,1.17506,1.18984,1.20908,1.23059,1.25436,1.28223,1.3142,1.35169,1.39472,1.4556,1.51509,1.58605,1.64307,0.00472684,0.00522379,0.00587821,0.00669009,0.00766829,0.00881279,0.0101913,0.0118038,0.0146858,0.0192951,0.0256619,0.0316738
29.099,90.3,0.636,0.442384,1.1709,1.18244,1.20144,1.22175,1.24338,1.26881,1.29802,1.33208,1.37099,1.41622,1.46756,1.5089,1.542,0.00487324,0.00538376,0.00603993,0.00684177,0.00780453,0.00892823,0.0102794,0.011858,0.0145741,0.019016,0.0247028,0.0301883
33.219,108.3,0.772,-0.0839736,1.17653,1.19684,1.2248,1.2531,1.28174,1.30424,1.32058,1.33997,1.36242,1.40838,1.45142,1.48029,1.51225,0.00475692,0.00530989,0.00599288,0.00680589,0.00769629,0.00866408,0.00978288,0.0110527,0.0133961,0.0169795,0.0213422,0.0254764
27.245,48.9,0.956,-0.296257,1.20203,1.22005,1.24276,1.26125,1.27553,1.29774,1.32789,1.34981,1.36351,1.38863,1.41138,1.40283,1.40172,0.00452877,0.00505481,0.00567493,0.00638912,0.00724764,0.00825049,0.0093176,0.010449,0.0124663,0.0154995,0.0188725,0.022078
35.897,65.1,0.74,0.0610288,1.18324,1.2013,1.2252,1.24997,1.27561,1.30926,1.3509,1.38503,1.41165,1.45319,1.51303,1.57491,1.62074,0.00467086,0.00521627,0.00590032,0.006723,0.00774026,0.00895209,0.0102883,0.0117489,0.0143152,0.0185958,0.0241676,0.0293663
35.279,74.1,0.724,-0.145502,1.18022,1.19804,1.22212,1.25254,1.28932,1.3171,1.33589,1.36262,1.39728,1.43566,1.47522,1.51544,1.54069,0.00471468,0.00525033,0.00594906,0.00681085,0.00774556,0.00875319,0.00997421,0.0114086,0.0137489,0.0173987,0.0220805,0.026285
34.249,104.7,0.812,0.236502,1.17289,1.1901,1.21388,1.24462,1.28233,1.31251,1.33515,1.36064,1.38896,1.43672,1.49581,1.53828,1.57274,0.00463689,0.00518286,0.00590657,0.00680801,0.00780376,0.0088938,0.0101487,0.0115684,0.0141671,0.0183734,0.0234719,0.0283056
28.687,113.7,0.836,0.115091,1.1684,1.18998,1.21266,1.23723,1.2637,1.28796,1.31,1.33086,1.35054,1.37801,1.4245,1.45557,1.45651,0.00468472,0.00520972,0.00587406,0.00667774,0.00758895,0.00860768,0.00974126,0.0109897,0.0131595,0.0168324,0.0212557,0.0249602
27.451,99.3,0.804,0.00154507,1.1782,1.20041,1.22267,1.24047,1.25381,1.2731,1.29835,1.32235,1.34512,1.36264,1.39367,1.43982,1.45161,0.00475283,0.00528273,0.00591085,0.00663718,0.00750832,0.00852425,0.00966729,0.0109374,0.0129792,0.0163917,0.0209518,0.0247136
33.837,36.3,0.868,-0.155116,1.19062,1.2092,1.23231,1.25803,1.28635,1.31583,1.34647,1.37427,1.39922,1.43405,1.49207,1.52741,1.52846,0.00448639,0.0050179,0.00569502,0.00651777,0.00747422,0.0085644,0.00977015,0.0110915,0.0134088,0.0173279,0.0218961,0.025668
32.807,117.3,0.668,0.284885,1.16762,1.18318,1.20453,1.22992,1.25934,1.29143,1.3262,1.35534,1.37887,1.42079,1.4542,1.46373,1.50056,0.00490306,0.00542401,0.00610631,0.00694995,0.00795623,0.00912515,0.0104054,0.0117969,0.0143896,0.0183428,0.0231374,0.0282679
30.541,47.1,0.796,0.209161,1.18556,1.20043,1.2177,1.2367,1.25744,1.28465,1.31831,1.35375,1.39096,1.43349,1.49014,1.54931,1.59021,0.0045778,0.00509156,0.00574884,0.00654961,0.00752567,0.008677,0.0100199,0.0115544,0.0141273,0.0183776,0.0238931,0.029028
32.189,84.9,0.932,-0.124643,1.18654,1.20734,1.2309,1.25442,1.27788,1.30314,1.33018,1.35685,1.38316,1.41864,1.45158,1.47459,1.50156,0.00455435,0.00509486,0.0057568,0.00654018,0.00745397,0.00849818,0.00966727,0.0109613,0.0131898,0.0165989,0.0208233,0.0248509
32.601,34.5,0.948,0.0185829,1.17747,1.19546,1.22121,1.24843,1.27714,1.30502,1.33209,1.36268,1.39681,1.4456,1.50722,1.57134,1.60848,0.00436691,0.00490133,0.0055861,0.00642123,0.00738305,0.00847156,0.00974114,0.0111918,0.0137422,0.0178485,0.023179,0.0278667
33.425,106.5,0.892,-0.338778,1.18318,1.20351,1.22746,1.24947,1.26955,1.29693,1.33162,1.35793,1.37583,1.40107,1.42307,1.44179,1.44828,0.00457282,0.0050755,0.00567977,0.00638565,0.00721682,0.00817329,0.00918989,0.0102666,0.0121123,0.014906,0.0183093,0.0211971
25.803,45.3,0.82,-0.284247,1.20023,1.21754,1.23573,1.25358,1.2711,1.29167,1.31529,1.34057,1.36751,1.38132,1.38539,1.3994,1.41335,0.00466136,0.00516216,0.0057772,0.00650648,0.00735154,0.00831238,0.00941848,0.0106699,0.012587,0.0154502,0.0191341,0.0225353
26.833,75.9,0.756,0.347142,1.17256,1.18488,1.20009,1.22122,1.24827,1.27336,1.29651,1.3227,1.35193,1.39928,1.45749,1.52479,1.57448,0.00467788,0.00517893,0.00584712,0.00668246,0.00763653,0.00870933,0.00996307,0.0113977,0.0139855,0.0181806,0.023816,0.0290485
