S0,L,ms,fi,DREK12.5,DREK17.5,DREK22.5,DREK27.5,DREK32.5,DREK37.5,DREK42.5,DREK47.5,DREK52.5,DREK60.0,DREK70.0,DREK80.0,DREK87.5,DREK12.5_Error,DREK17.5_Error,DREK22.5_Error,DREK27.5_Error,DREK32.5_Error,DREK37.5_Error,DREK42.5_Error,DREK47.5_Error,DREK52.5_Error,DREK60.0_Error,DREK70.0_Error,DREK80.0_Error,DREK87.5_Error
31.571,38.1,0.764,-0.0156028,1.18682,1.20255,1.22339,1.24719,1.27395,1.30194,1.33117,1.36002,1.38849,1.43299,1.47737,1.51289,1.54189,0.00154537,0.00162957,0.00181523,0.00205415,0.00234631,0.00268768,0.00307825,0.00352279,0.0040213,0.00490967,0.00629291,0.00802616,0.00963066
30.953,70.5,0.652,0.60351,1.17208,1.18334,1.19985,1.21947,1.24221,1.27062,1.3047,1.33874,1.37272,1.43056,1.51329,1.59533,1.64795,0.00157791,0.00165038,0.0018247,0.00205369,0.00233734,0.00268595,0.00309952,0.00358004,0.00412751,0.00515112,0.00691187,0.00927138,0.0114633
34.661,68.7,0.844,0.115315,1.18278,1.19952,1.22079,1.24606,1.27533,1.30691,1.34079,1.37515,1.40999,1.45533,1.51573,1.57412,1.61147,0.0015204,0.00160748,0.00179583,0.00204085,0.00234253,0.00269863,0.00310917,0.00357819,0.00410571,0.00502044,0.00652048,0.00843206,0.0101689
26.627,88.5,0.676,0.0806885,1.17842,1.19587,1.21499,1.23569,1.25798,1.27946,1.30013,1.32147,1.34349,1.36825,1.40349,1.43615,1.45078,0.0016703,0.00174897,0.00192898,0.00215774,0.00243524,0.0027551,0.00311733,0.00352967,0.00399214,0.00478204,0.00609215,0.00774999,0.00922696
30.335,115.5,0.62,0.655965,1.16722,1.17833,1.19408,1.21444,1.23939,1.26548,1.29268,1.32206,1.35361,1.40122,1.46516,1.52361,1.56756,0.00166331,0.00172954,0.00190139,0.00213157,0.00242007,0.00276249,0.00315882,0.00362372,0.00415718,0.00512932,0.00676876,0.00893146,0.011014
28.893,119.1,0.988,-0.348398,1.1672,1.19021,1.21495,1.23837,1.26048,1.28235,1.30399,1.32167,1.3354,1.36004,1.38126,1.38652,1.39411,0.00147622,0.00156739,0.00174143,0.00194738,0.00218523,0.00245292,0.00275044,0.00307164,0.00341653,0.00402487,0.00494414,0.00601287,0.00698649
30.129,83.1,0.748,-0.213489,1.18697,1.20731,1.22952,1.2527,1.27684,1.30032,1.32312,1.34275,1.35922,1.38538,1.41492,1.43767,1.44889,0.00160591,0.00169184,0.00187416,0.00210135,0.00237342,0.00268309,0.00303038,0.00341171,0.00382708,0.0045571,0.00570072,0.00710469,0.00834172
31.777,92.1,0.828,0.241546,1.17491,1.19261,1.21443,1.23973,1.26851,1.29594,1.32202,1.35094,1.38271,1.42161,1.48654,1.54056,1.56074,0.00154936,0.00163473,0.00182285,0.00206668,0.00236623,0.00270941,0.00309621,0.00354575,0.00405802,0.00493282,0.00643339,0.00828926,0.00989812
35.485,57.9,0.916,0.170044,1.17958,1.1961,1.21843,1.24398,1.27275,1.30495,1.34057,1.3773,1.41512,1.46627,1.5257,1.58946,1.63863,0.00147506,0.00155976,0.00174608,0.00198726,0.0022833,0.00263798,0.00305132,0.00352754,0.00406665,0.00500321,0.00650779,0.00846566,0.0102767
26.421,54.3,0.788,-0.00484982,1.18666,1.20227,1.22238,1.2451,1.27042,1.29448,1.31726,1.33969,1.36178,1.39131,1.42977,1.46072,1.47799,0.00157324,0.00165785,0.00184464,0.00208265,0.00237189,0.00270195,0.00307282,0.00349044,0.00395481,0.00475916,0.0060703,0.00768447,0.00913155
29.717,32.7,0.708,-0.162374,1.18834,1.20439,1.22522,1.24777,1.27204,1.29707,1.32286,1.34873,1.37469,1.40614,1.43647,1.46244,1.48002,0.00158059,0.00166113,0.00184234,0.0020718,0.00234949,0.00267342,0.0030436,0.00346154,0.00392725,0.00472746,0.0059784,0.00753397,0.00893714
34.867,61.5,0.628,0.334495,1.17741,1.19193,1.2115,1.23327,1.25723,1.28611,1.31991,1.35426,1.38916,1.44532,1.51315,1.58082,1.63227,0.00159775,0.00167529,0.00185345,0.00208477,0.00236923,0.00271669,0.00312715,0.00360434,0.00414823,0.00515747,0.00682307,0.00902998,0.0111152
29.099,90.3,0.636,0.442384,1.17241,1.18458,1.20167,1.22349,1.25006,1.27739,1.30546,1.33445,1.36435,1.4045,1.45761,1.50447,1.54047,0.00165355,0.00172481,0.00190221,0.00213818,0.00243271,0.00277989,0.00317973,0.00364368,0.00417174,0.00510723,0.00667395,0.00870514,0.0106484
33.219,108.3,0.772,-0.0839736,1.1781,1.19934,1.22369,1.25142,1.28252,1.30871,1.32998,1.35103,1.37188,1.4099,1.44618,1.46815,1.48542,0.00159408,0.0016845,0.00187421,0.00211569,0.00240894,0.00273363,0.00308974,0.00349064,0.00393631,0.00474327,0.00597919,0.00747564,0.00883957
27.245,48.9,0.956,-0.296257,1.20316,1.2205,1.24091,1.26113,1.28116,1.30286,1.32623,1.34565,1.36111,1.37995,1.39632,1.40117,1.40201,0.0015124,0.00160227,0.00178456,0.00200635,0.00226761,0.00256912,0.00291088,0.00328319,0.00368605,0.0043712,0.0054216,0.00667743,0.00779843
35.897,65.1,0.74,0.0610288,1.18194,1.19963,1.22355,1.24959,1.27776,1.30753,1.33891,1.3696,1.3996,1.45146,1.51685,1.56482,1.59558,0.00156083,0.00164763,0.00183921,0.00208442,0.00238327,0.0027346,0.00313841,0.00359838,0.00411452,0.00505785,0.00659095,0.00847501,0.0101951
35.279,74.1,0.724,-0.145502,1.18568,1.20479,1.22819,1.25246,1.27759,1.30638,1.33881,1.37014,1.40038,1.43363,1.47275,1.5086,1.52955,0.00158918,0.0016763,0.0018652,0.00210112,0.00238406,0.00272002,0.00310899,0.00354716,0.00403453,0.00484703,0.00614708,0.00776983,0.00922241
34.249,104.7,0.812,0.236502,1.17381,1.19206,1.21559,1.24217,1.27182,1.30106,1.32992,1.35927,1.38914,1.43551,1.49397,1.53679,1.56514,0.00155669,0.00164344,0.00183563,0.00208209,0.00238283,0.0027318,0.003129,0.00358217,0.00409132,0.00500189,0.00647835,0.0082945,0.0099594
28.687,113.7,0.836,0.115091,1.17008,1.18949,1.2118,1.23611,1.26243,1.28665,1.30877,1.33007,1.35055,1.37678,1.41207,1.44775,1.47299,0.00156896,0.00165452,0.00183913,0.00207312,0.0023565,0.00267725,0.00303538,0.003438,0.00388511,0.00465336,0.00589982,0.00748285,0.00893513
27.451,99.3,0.804,0.00154507,1.17603,1.19609,1.21951,1.24158,1.2623,1.28507,1.30991,1.33161,1.35018,1.37324,1.40007,1.42366,1.43698,0.00158798,0.00167566,0.00186276,0.00209193,0.00236316,0.00267984,0.00304197,0.00344182,0.0038794,0.00462662,0.00581799,0.00731384,0.00864988
33.837,36.3,0.868,-0.155116,1.19046,1.20829,1.23043,1.25619,1.28555,1.31499,1.34449,1.37175,1.39676,1.43227,1.47773,1.51904,1.53758,0.00149601,0.00158544,0.001771,0.00200992,0.00230218,0.00263958,0.00302212,0.00344957,0.00392195,0.00474526,0.0060635,0.00770556,0.00912415
32.807,117.3,0.668,0.284885,1.1721,1.18911,1.21244,1.23738,1.26394,1.29085,1.31811,1.34545,1.37287,1.40885,1.45288,1.49529,1.52485,0.00166202,0.00174118,0.00193054,0.00217195,0.00246541,0.00280912,0.00320308,0.0036523,0.0041568,0.00504203,0.00648949,0.00836735,0.010109
30.541,47.1,0.796,0.209161,1.18002,1.19505,1.21616,1.23949,1.26503,1.29363,1.32528,1.35751,1.39032,1.44033,1.49406,1.54242,1.58681,0.00153274,0.00161601,0.00180334,0.00204427,0.00233881,0.00268922,0.00309549,0.00356242,0.00409001,0.00503577,0.00653008,0.00843803,0.0102645
32.189,84.9,0.932,-0.124643,1.18852,1.20822,1.23244,1.25702,1.28196,1.30663,1.33105,1.35654,1.3831,1.41628,1.45056,1.47742,1.49563,0.00151777,0.00161049,0.00180176,0.00203854,0.00232086,0.00264304,0.0030051,0.00341571,0.00387485,0.00466104,0.00588025,0.00737695,0.0087308
32.601,34.5,0.948,0.0185829,1.18784,1.20364,1.22371,1.24792,1.27627,1.30532,1.33505,1.36668,1.40022,1.44678,1.50436,1.55693,1.59031,0.00146867,0.00155384,0.00173641,0.00197448,0.00226806,0.00261054,0.00300192,0.00345359,0.00396553,0.00485784,0.00629849,0.00811763,0.00975208
33.425,106.5,0.892,-0.338778,1.18384,1.20432,1.22706,1.25091,1.27588,1.30069,1.32534,1.34997,1.3746,1.39842,1.42281,1.43707,1.44012,0.00152873,0.00161739,0.00179422,0.00201024,0.00226544,0.00255341,0.00287415,0.00323274,0.00362919,0.00427432,0.00527185,0.00644644,0.00746019
25.803,45.3,0.82,-0.284247,1.19915,1.21598,1.2357,1.25551,1.27542,1.29492,1.31401,1.33409,1.35514,1.37012,1.37922,1.38834,1.3958,0.00156087,0.00164604,0.00182556,0.00204639,0.00230852,0.00260565,0.00293777,0.00331349,0.00373282,0.00440617,0.00543518,0.00670119,0.0078516
29.923,77.7,0.94,-0.53617,1.20309,1.22108,1.23856,1.25735,1.27745,1.29683,1.3155,1.3286,1.33615,1.35567,1.36192,1.34871,1.34701,0.00385201,0.00403879,0.00441147,0.00485582,0.00537186,0.00595744,0.00661257,0.00730483,0.00803423,0.00933115,0.0112061,0.0133012,0.0152031
26.833,75.9,0.756,0.347142,1.174,1.18734,1.20462,1.22622,1.25213,1.27839,1.30501,1.33093,1.35617,1.39711,1.44872,1.51071,1.56127,0.00158331,0.00165991,0.00184034,0.00207689,0.00236958,0.0027106,0.00309996,0.00354233,0.0040377,0.00493378,0.00639704,0.00835915,0.0102139
