S0,L,ms,fi,b,RE50Y0.0,RE50Y0.2,RE50Y0.4,RE50Y0.6,RE50Y0.8,RE50Y1.0,RE50Y0.0_Error,RE50Y0.2_Error,RE50Y0.4_Error,RE50Y0.6_Error,RE50Y0.8_Error,RE50Y1.0_Error
34.455,113.086,0.694286,0.0975006,3.35,0.110144,-0.160858,-0.272188,-0.442924,-0.492357,-0.479025,0.0274132,0.0276233,0.0279422,0.0260237,0.0279252,0.0290932
29.4521,80.4,0.917143,-0.581071,8.95,0.0722445,-0.187979,-0.349103,-0.373776,-0.615567,-1.0751,0.0282597,0.0271912,0.0273258,0.0265761,0.0233923,0.0424052
27.6864,95.4857,0.62,-0.00964369,8.45,0.0948165,-0.195548,-0.356098,-0.54461,-0.719359,-0.825939,0.0332387,0.0333598,0.0320684,0.0320183,0.0228634,0.0267216
27.0979,66.5714,0.865714,-0.295358,6.95,0.0625406,-0.100032,-0.273973,-0.39351,-0.538496,-0.679448,0.026451,0.0267905,0.0279909,0.0265419,0.0228007,0.0358984
32.9836,48.9714,0.711429,-0.348927,3.75,0.105901,-0.0816046,-0.17292,-0.284088,-0.39967,-0.412582,0.0251471,0.0263803,0.0279214,0.0283011,0.028738,0.0281151
28.7164,82.9143,0.894286,0.579644,3.55,0.0891488,-0.0302454,-0.114915,-0.211968,-0.299118,-0.318368,0.0255861,0.0256973,0.0277142,0.0273413,0.0281442,0.0277179
35.1907,64.0571,0.877143,0.615356,3.45,0.0861538,0.00709363,-0.0393978,-0.109551,-0.235693,-0.267478,0.0257946,0.0265602,0.0285268,0.0294803,0.0275979,0.0275731
25.7736,101.771,0.625714,0.204642,7.55,0.0660047,-0.185333,-0.318408,-0.51318,-0.682453,-0.808481,0.0318935,0.0325948,0.0306668,0.0313422,0.0219112,0.030184
28.275,90.4571,0.9,0.436784,4.35,0.102641,-0.0686599,-0.146476,-0.29258,-0.355476,-0.416388,0.0257471,0.0265692,0.0276961,0.0257778,0.0283724,0.0292461
27.8336,118.114,0.602857,0.454642,4.05,0.0991128,-0.131554,-0.331067,-0.481852,-0.58559,-0.581848,0.0303227,0.030468,0.0291768,0.0275245,0.0255473,0.0316518
27.3921,65.3143,0.854286,0.490356,8.05,0.0961652,-0.0829993,-0.326922,-0.312064,-0.475341,-0.534296,0.0261522,0.026919,0.0284393,0.0334386,0.0230181,0.0271962
34.7493,111.829,0.637143,0.383215,6.55,0.0888652,-0.169055,-0.313312,-0.406979,-0.502321,-0.541381,0.0277633,0.0280445,0.0286837,0.031155,0.0258239,0.0297714
30.7764,86.6857,0.774286,0.276071,6.65,0.139349,-0.0978081,-0.261929,-0.339628,-0.476553,-0.530976,0.0261028,0.0266163,0.0272023,0.0313309,0.0240071,0.0295578
34.8964,74.1143,0.797143,-0.438215,9.85,0.0990202,-0.247519,-0.467073,-0.563611,-0.570536,-0.670569,0.0263017,0.0269833,0.0275109,0.0276905,0.0285424,0.0264421
32.8364,47.7143,0.614286,0.543929,4.95,0.0875768,-0.0592534,-0.168713,-0.24401,-0.287186,-0.353183,0.0270063,0.0277891,0.0279414,0.0308424,0.0303904,0.0303686
29.7464,67.8286,0.78,-0.241786,6.35,0.0311107,-0.135009,-0.261086,-0.341004,-0.498763,-0.554773,0.0266363,0.0272802,0.0277774,0.0282624,0.0244236,0.0305313
30.9236,114.343,0.98,-0.456071,4.85,0.081725,-0.0907456,-0.303552,-0.510052,-0.654427,-0.61439,0.0248658,0.0240996,0.0236617,0.0270009,0.0343791,0.032183
33.8664,57.7714,0.945714,-0.0453574,4.45,0.0817807,-0.0590607,-0.0870392,-0.210251,-0.342611,-0.317796,0.0241209,0.0251494,0.0278229,0.026601,0.0267044,0.0274175
