S0,L,ms,fi,b,RE50Y-2.0,RE50Y-1.8,RE50Y-1.6,RE50Y-1.4,RE50Y-1.2,RE50Y-1.0,RE50Y-0.8,RE50Y-0.6,RE50Y-0.4,RE50Y-0.2,RE50Y0.0,RE50Y0.2,RE50Y0.4,RE50Y0.6,RE50Y0.8,RE50Y1.0,RE50Y1.2,RE50Y1.4,RE50Y1.6,RE50Y1.8,RE50Y2.0,RE50Y-2.0_Error,RE50Y-1.8_Error,RE50Y-1.6_Error,RE50Y-1.4_Error,RE50Y-1.2_Error,RE50Y-1.0_Error,RE50Y-0.8_Error,RE50Y-0.6_Error,RE50Y-0.4_Error,RE50Y-0.2_Error,RE50Y0.0_Error,RE50Y0.2_Error,RE50Y0.4_Error,RE50Y0.6_Error,RE50Y0.8_Error,RE50Y1.0_Error,RE50Y1.2_Error,RE50Y1.4_Error,RE50Y1.6_Error,RE50Y1.8_Error,RE50Y2.0_Error
27.5393,106.8,0.991429,0.186784,3.25,-0.142762,-0.0412226,-0.0765477,0.00644881,0.0297383,0.0287822,-0.00659093,-0.122027,-0.19406,-0.144857,0.0163663,0.159956,0.291224,0.348698,0.385425,0.403654,0.396266,0.436256,0.396201,0.39745,0.309033,0.133565,0.0886437,0.0666535,0.0561993,0.0466757,0.0413429,0.0393421,0.0375847,0.0331712,0.0349295,0.0364725,0.0354557,0.0333337,0.0371138,0.0414209,0.0436245,0.0472166,0.0551989,0.0701778,0.0876178,0.128196
30.335,91.7143,0.825714,0.418931,3.85,-0.169856,-0.170189,-0.0679346,-0.0612933,-0.130782,-0.243655,-0.39494,-0.214019,-0.102146,-0.127333,0.00250011,0.132357,0.251336,0.305915,0.364094,0.420491,0.419047,0.435594,0.427786,0.435839,0.372066,0.110235,0.0720502,0.0555559,0.0472351,0.0411544,0.0395921,0.0419323,0.0368486,0.0383773,0.0372876,0.037353,0.0373008,0.0387258,0.0357915,0.0403706,0.0399758,0.0434857,0.0472153,0.0568776,0.0730304,0.102675
32.1007,38.9143,0.717143,-0.0632147,9.25,-0.0577857,-0.12147,-0.217837,-0.321949,-0.58558,-1.36711,-0.0492602,-0.419218,-0.502741,-0.277087,-0.00760926,0.285782,0.443602,0.528927,0.573487,0.570155,0.626453,0.662485,0.721504,0.742114,0.78386,0.0771098,0.0534277,0.044611,0.0397363,0.0364566,0.0597814,0.0535534,0.0379186,0.0388497,0.0381414,0.0379069,0.0377619,0.038483,0.038683,0.0421018,0.0371983,0.0394763,0.0416856,0.0474291,0.0580855,0.08127
29.5993,72.8571,0.888571,-0.545358,9.05,0.0966099,0.171932,0.0846311,-0.0538132,-0.208619,0.0423737,-0.584338,-0.714338,-0.464837,-0.266754,-0.00211529,0.242765,0.412981,0.516678,0.618463,0.893364,0.821092,0.964972,1.0191,1.01582,1.25356,0.134131,0.0924439,0.061633,0.0485792,0.0432501,0.0531516,0.0342504,0.0415879,0.0401545,0.0395815,0.0394229,0.0369764,0.039471,0.0390323,0.0313365,0.054517,0.0478143,0.0560052,0.0696931,0.091396,0.159277
26.215,98,0.848571,-0.491786,5.45,0.512421,0.419137,0.451637,0.387301,0.286688,0.704349,0.872598,-0.497622,-0.773319,-0.223234,0.0227895,0.144334,0.440195,0.617834,0.854397,0.697142,0.817837,0.922109,0.924841,1.03515,1.144,0.209362,0.125338,0.0928481,0.069856,0.0576374,0.0574394,0.0592641,0.0321142,0.0373985,0.0385392,0.038892,0.0365901,0.0336042,0.0318258,0.0556326,0.0538507,0.0591993,0.0699312,0.0903836,0.141156,0.230054
29.4521,80.4,0.917143,-0.581071,8.95,0.0917309,0.187209,0.169474,-0.0036354,-0.127206,0.337398,-0.532178,-0.855977,-0.445176,-0.227488,0.0339067,0.257523,0.404216,0.482749,0.622475,0.958658,0.824985,1.03925,1.0911,1.13505,1.27222,0.153797,0.0906354,0.0664726,0.054505,0.044836,0.056518,0.0341342,0.0430439,0.0393987,0.0395501,0.040648,0.03872,0.0386769,0.0369187,0.032302,0.0584737,0.0488399,0.0611257,0.0761587,0.106566,0.176379
28.8636,75.3714,0.705714,-0.134644,9.75,-0.0808416,0.0152246,-0.00977687,-0.236495,-0.218466,-0.742108,-0.904756,-0.681571,-0.576927,-0.359895,0.0166577,0.335969,0.559393,0.645306,0.716467,0.775971,0.794395,0.877562,0.943,1.01654,1.0612,0.112303,0.0754931,0.0552004,0.0466455,0.0369388,0.0495931,0.0560961,0.0417631,0.0412224,0.0427229,0.0424577,0.0424692,0.0418661,0.0417452,0.0371248,0.0318021,0.0456248,0.0498952,0.0591085,0.0824741,0.119368
34.6021,55.2571,0.608571,-0.366788,6.05,0.0588718,0.064442,-0.0181142,-0.159882,-0.303581,-0.731857,-0.394657,-0.130605,-0.342431,-0.203599,-0.00576369,0.211877,0.350809,0.391228,0.466099,0.492729,0.575314,0.596623,0.650735,0.741255,0.725141,0.0931368,0.0654071,0.0498037,0.0424657,0.0385646,0.046364,0.0428457,0.0432766,0.0405006,0.0408747,0.0405354,0.0399303,0.0405925,0.0432541,0.0402457,0.0415456,0.0409772,0.042635,0.0491195,0.0691656,0.0965091
35.0436,104.286,0.66,0.115358,5.55,-0.0242475,0.0463696,0.0249903,-0.0334964,-0.172943,-0.371358,-0.419031,-0.241705,-0.324951,-0.216328,-0.00239703,0.219929,0.375288,0.412114,0.512398,0.555543,0.549698,0.64725,0.712673,0.6545,0.717802,0.113209,0.0758761,0.0544542,0.045076,0.0408746,0.0415314,0.0385429,0.0425323,0.0391511,0.0394824,0.0392397,0.0398926,0.0400728,0.0411208,0.0358507,0.0429184,0.04238,0.0486502,0.0590119,0.075643,0.121039
32.8364,47.7143,0.614286,0.543929,4.95,-0.0443627,-0.203253,-0.271111,-0.352551,-0.456109,-0.634765,-0.246885,-0.0216144,-0.171136,-0.113194,-0.0129102,0.122799,0.227337,0.272317,0.312226,0.350831,0.391023,0.452962,0.474451,0.524037,0.538232,0.0824958,0.059796,0.0476605,0.0431734,0.0411207,0.0452374,0.0439041,0.0420434,0.0402265,0.0393333,0.0388314,0.0395916,0.0396569,0.0428749,0.0418482,0.0424684,0.0414128,0.0442123,0.0494363,0.0615184,0.078931
