S0,L,ms,fi,b,RE50Y0.0,RE50Y0.2,RE50Y0.4,RE50Y0.6,RE50Y0.8,RE50Y1.0,RE50Y0.0_Error,RE50Y0.2_Error,RE50Y0.4_Error,RE50Y0.6_Error,RE50Y0.8_Error,RE50Y1.0_Error
29.7464,67.8286,0.78,-0.241786,6.35,0.105006,0.261945,0.422952,0.470294,0.509204,0.506507,0.0275604,0.027971,0.0281766,0.0259038,0.0236469,0.0309179
34.8964,74.1143,0.797143,-0.438215,9.85,0.12707,0.45511,0.649468,0.675715,0.697134,0.610847,0.0271518,0.0269811,0.0271104,0.0268132,0.0266205,0.0258903
30.9236,114.343,0.98,-0.456071,4.85,0.0789889,0.271148,0.375507,0.481362,0.580752,0.62126,0.0258294,0.0244397,0.0223005,0.0256701,0.0337975,0.0316304
33.8664,57.7714,0.945714,-0.0453574,4.45,0.071214,0.176148,0.168313,0.23337,0.31197,0.414418,0.024959,0.0259011,0.026384,0.0250808,0.0272531,0.0272803
27.8336,118.114,0.602857,0.454642,4.05,0.0847609,0.326271,0.400577,0.536274,0.586345,0.602591,0.03134,0.0310873,0.0293348,0.0254682,0.0238673,0.0325259
27.3921,65.3143,0.854286,0.490356,8.05,0.118628,0.312239,0.467725,0.529292,0.512191,0.400279,0.0271062,0.0274946,0.0287703,0.0325363,0.021582,0.0274484
30.7764,86.6857,0.774286,0.276071,6.65,0.0971714,0.240179,0.398757,0.452566,0.482103,0.466348,0.0270281,0.0271832,0.0277956,0.0292724,0.0227638,0.0300282
34.7493,111.829,0.637143,0.383215,6.55,0.0668402,0.282451,0.436779,0.478807,0.540987,0.510427,0.0286429,0.0284144,0.0290602,0.0299702,0.0239949,0.0300343
35.1907,64.0571,0.877143,0.615356,3.45,0.0475517,0.131226,0.130973,0.206743,0.253463,0.338741,0.0266808,0.0269603,0.027572,0.0279814,0.0272394,0.0272155
25.7736,101.771,0.625714,0.204642,7.55,0.0922639,0.383365,0.464208,0.563123,0.726032,0.765464,0.0328349,0.0332615,0.0310946,0.0305588,0.0200349,0.0306511
28.275,90.4571,0.9,0.436784,4.35,0.047419,0.169971,0.281032,0.318945,0.406905,0.407442,0.0266109,0.0272894,0.0264169,0.0240754,0.0288739,0.029018
