S0,L,ms,fi,b,RE35Y0.0,RE35Y0.2,RE35Y0.4,RE35Y0.6,RE35Y0.8,RE35Y1.0,RE35Y0.0_Error,RE35Y0.2_Error,RE35Y0.4_Error,RE35Y0.6_Error,RE35Y0.8_Error,RE35Y1.0_Error
26.8036,78.2143,0.837143,0.204643,9.93571,0.127842,0.31026,0.447354,0.644318,0.620725,0.622964,0.00971458,0.00988997,0.0102727,0.0118874,0.00699142,0.00936661
35.485,82.0714,0.831429,0.508214,2.09286,0.0441479,0.0648844,0.169974,0.228129,0.30792,0.356106,0.00937227,0.00928304,0.00918863,0.00980934,0.00962397,0.00947881
35.0436,115.5,0.671429,0.329643,1.19286,0.0732435,0.178551,0.300598,0.379453,0.433376,0.495423,0.0276108,0.0281738,0.0262777,0.0242739,0.0298038,0.0299558
25.9207,43.5,0.934286,-0.241786,6.59286,0.0895515,0.164307,0.232627,0.291948,0.322029,0.40939,0.00955678,0.00964815,0.00859259,0.00787473,0.0108399,0.0111012
28.8636,52.5,0.985714,-0.491786,1.70714,0.0342905,0.138006,0.228359,0.27727,0.359966,0.457784,0.00731296,0.0079452,0.00900736,0.00994666,0.00989676,0.0104946
28.1279,49.9286,0.86,0.133214,9.42143,0.13552,0.259178,0.385624,0.559525,0.490809,0.395575,0.0258508,0.0266186,0.0277655,0.0349793,0.0205554,0.0284085
34.0136,73.0714,0.648571,0.115357,8.00714,0.0512571,0.201415,0.290906,0.329917,0.355563,0.357231,0.0277524,0.0281371,0.0287433,0.0301762,0.0258118,0.0306699
31.2179,57.6429,0.882857,0.0975,8.77857,0.0867444,0.216495,0.366243,0.393213,0.369695,0.26692,0.0262562,0.0265557,0.0278084,0.031335,0.0216372,0.0288961
27.245,109.071,0.968571,0.3475,2.35,0.0480907,0.169567,0.285467,0.32961,0.350862,0.439288,0.0217557,0.0220407,0.024171,0.0289514,0.0284956,0.0310004
34.6021,83.3571,0.625714,-0.0632143,1.57857,0.078117,0.211199,0.267626,0.401262,0.427411,0.478242,0.0278683,0.0289783,0.027892,0.025404,0.0291979,0.0287295
26.6564,87.2143,0.945714,0.0617857,4.66429,0.0128634,0.197458,0.315631,0.353687,0.355162,0.478584,0.0256568,0.023625,0.0217429,0.0274796,0.0297645,0.0320239
34.1607,116.786,0.98,-0.438214,8.65,0.118081,0.258204,0.397878,0.424898,0.447727,0.555706,0.0263692,0.0273144,0.0278581,0.024105,0.0253143,0.0366195
33.2779,66.6429,0.877143,0.579643,4.79286,0.0551326,0.0664738,0.121281,0.16724,0.229392,0.285251,0.00965423,0.00959068,0.00936194,0.00974392,0.00979255,0.00959324
30.7764,91.0714,0.711429,0.2225,8.52143,0.0864431,0.251402,0.358442,0.447806,0.462894,0.434979,0.0268264,0.0282686,0.0294082,0.0290453,0.0220513,0.0327324
35.6321,53.7857,0.917143,0.258214,8.26429,0.0577221,0.198542,0.320623,0.269294,0.228077,0.151399,0.0255267,0.0261225,0.0304583,0.0305093,0.0245461,0.0259928
32.5421,69.2143,0.814286,-0.348929,2.47857,0.0414365,0.13031,0.219379,0.284393,0.356591,0.430156,0.0095663,0.00934374,0.00846759,0.009252,0.00987117,0.00982426
30.6293,62.7857,0.705714,-0.0810714,6.46429,0.067104,0.16511,0.260093,0.330539,0.359196,0.393373,0.00979874,0.00994184,0.0101563,0.00887689,0.00981996,0.0108002
27.6864,44.7857,0.797143,-0.420357,3.25,0.101454,0.169383,0.233565,0.325116,0.386861,0.417778,0.0270411,0.0272257,0.0233931,0.0251805,0.0306702,0.0288269
34.7493,58.9286,0.82,0.615357,3.50714,0.0608584,0.0310375,0.0955394,0.202184,0.201624,0.314541,0.026883,0.0269809,0.0273187,0.0288132,0.0272183,0.026757
35.9264,94.9286,0.842857,0.436786,5.43571,0.0776421,0.108323,0.164424,0.225822,0.236538,0.35395,0.0266531,0.0275055,0.0262107,0.0265705,0.02855,0.0277988
30.1879,46.0714,0.728571,0.454643,5.69286,0.0681746,0.132444,0.1601,0.215667,0.257933,0.31173,0.00961391,0.00981596,0.0100132,0.00955597,0.0103758,0.0104428
26.0679,34.5,0.951429,-0.188214,3.12143,0.0482373,0.128614,0.217342,0.274596,0.321918,0.376918,0.00858234,0.00811753,0.00811854,0.00965517,0.00982817,0.0101764
26.9507,33.2143,0.865714,0.293929,8.13571,0.0836501,0.203109,0.299291,0.287967,0.312991,0.240408,0.0094132,0.00951925,0.0108056,0.00967794,0.00836591,0.0102149
