S0,L,ms,fi,b,RE35Y-2.0,RE35Y-1.8,RE35Y-1.6,RE35Y-1.4,RE35Y-1.2,RE35Y-1.0,RE35Y-0.8,RE35Y-0.6,RE35Y-0.4,RE35Y-0.2,RE35Y0.0,RE35Y0.2,RE35Y0.4,RE35Y0.6,RE35Y0.8,RE35Y1.0,RE35Y1.2,RE35Y1.4,RE35Y1.6,RE35Y1.8,RE35Y2.0,RE35Y-2.0_Error,RE35Y-1.8_Error,RE35Y-1.6_Error,RE35Y-1.4_Error,RE35Y-1.2_Error,RE35Y-1.0_Error,RE35Y-0.8_Error,RE35Y-0.6_Error,RE35Y-0.4_Error,RE35Y-0.2_Error,RE35Y0.0_Error,RE35Y0.2_Error,RE35Y0.4_Error,RE35Y0.6_Error,RE35Y0.8_Error,RE35Y1.0_Error,RE35Y1.2_Error,RE35Y1.4_Error,RE35Y1.6_Error,RE35Y1.8_Error,RE35Y2.0_Error
34.7983,36.4,0.7,0,7,-0.0580037,-0.0903239,-0.132526,-0.197218,-0.28769,-0.610488,-0.276648,0.0464448,0.053549,-0.0748847,0.00452567,0.083915,0.123043,0.145173,0.191122,0.254721,0.338065,0.374996,0.41502,0.466798,0.51733,0.0223001,0.0182488,0.0159887,0.0148729,0.0141391,0.0155992,0.0156695,0.0157096,0.0150277,0.01369,0.0134604,0.0136076,0.0149986,0.0152726,0.0148136,0.014702,0.014361,0.0149547,0.016009,0.0182249,0.0220057
33.7683,56.9333,0.7,0,7,0.0205442,-0.0354311,-0.070709,-0.138779,-0.24129,-0.498051,-0.287146,-0.0478462,-0.000772379,-0.083049,0.00869706,0.0982977,0.151133,0.198788,0.259633,0.308641,0.391806,0.436591,0.490725,0.535498,0.577739,0.0243384,0.0192958,0.0165208,0.0153247,0.0144318,0.0154075,0.0150248,0.0147485,0.0148598,0.0136209,0.0135853,0.0136966,0.014948,0.0142763,0.0142598,0.0148817,0.0148059,0.015577,0.0169189,0.0196417,0.0247895
29.305,80.4,0.7,0,7,0.0977626,0.103717,0.0665902,-0.0317657,-0.109143,-0.0809184,-0.240323,-0.26617,-0.209062,-0.117105,-0.00122215,0.121256,0.24509,0.367395,0.456625,0.504412,0.535793,0.605891,0.660267,0.729512,0.749441,0.0319027,0.024292,0.0200242,0.0176435,0.0157508,0.0163672,0.0140334,0.012791,0.014716,0.014194,0.0138597,0.0140854,0.0147015,0.0124465,0.0134321,0.0168827,0.0166832,0.0182693,0.0206777,0.0258899,0.0329939
28.6183,71.6,0.7,0,7,0.0723544,0.0859722,0.039279,-0.0359641,-0.122028,-0.12198,-0.234471,-0.245962,-0.188834,-0.11868,0.00204599,0.120403,0.232536,0.351794,0.433791,0.487306,0.518714,0.585839,0.664349,0.694075,0.74696,0.0306195,0.0238455,0.0197185,0.0171287,0.0156605,0.0161897,0.0140801,0.0129466,0.0146198,0.0140693,0.0138799,0.0141478,0.014618,0.0125479,0.0135334,0.0167461,0.016582,0.0179406,0.0208544,0.0251044,0.03232
27.9317,42.2667,0.7,0,7,0.0439448,0.0223794,-0.00814708,-0.095548,-0.186917,-0.330786,-0.24874,-0.136173,-0.0859048,-0.09244,0.0013905,0.094118,0.181412,0.270585,0.332054,0.376146,0.445472,0.485452,0.565311,0.611019,0.661221,0.0272274,0.0210691,0.0182211,0.0163878,0.0153152,0.0158716,0.0144515,0.0137016,0.0146227,0.0138259,0.0137308,0.0138225,0.0146131,0.0133691,0.0137653,0.0158272,0.0158819,0.0169063,0.0189852,0.02218,0.0283117
30.6783,83.3333,0.7,0,7,0.0746458,0.0882524,0.0298316,-0.0422678,-0.11866,-0.14701,-0.254696,-0.239321,-0.174422,-0.115801,7.22713e-05,0.125662,0.234587,0.343951,0.424698,0.462986,0.519952,0.585185,0.634861,0.699872,0.741848,0.0312556,0.0235303,0.0192838,0.0170029,0.0156501,0.0160099,0.0141426,0.0130217,0.0146558,0.0141526,0.0138839,0.0141469,0.0147925,0.0127233,0.0135015,0.0163953,0.0162367,0.0174607,0.0200698,0.0246017,0.0327672
28.9617,65.7333,0.7,0,7,0.0683396,0.0688036,0.0203985,-0.0705324,-0.132144,-0.189026,-0.250317,-0.211556,-0.157318,-0.106111,-7.24848e-05,0.112208,0.210906,0.325636,0.395469,0.450256,0.497293,0.550292,0.622773,0.661766,0.727843,0.0303789,0.0229527,0.0191158,0.0168712,0.0156278,0.0159667,0.0142089,0.0132125,0.0146753,0.0139938,0.0138053,0.01403,0.0146396,0.0128434,0.0135127,0.0163816,0.0162161,0.017544,0.0201019,0.0237177,0.0314837
33.0817,95.0667,0.7,0,7,0.0621953,0.08482,0.0237254,-0.0517625,-0.146788,-0.199665,-0.269423,-0.224648,-0.157964,-0.119526,-0.00566281,0.124896,0.227026,0.333982,0.40331,0.457734,0.522948,0.587172,0.635943,0.689991,0.697437,0.0300329,0.022699,0.0186845,0.0165965,0.015218,0.0155393,0.014248,0.0132491,0.0147263,0.0140034,0.0138247,0.0140603,0.0148258,0.0128847,0.013524,0.0160598,0.016142,0.0172282,0.019389,0.0241521,0.0308234
31.365,106.8,0.7,0,7,0.0904888,0.123876,0.0716653,-0.00958368,-0.0754232,0.0604857,-0.224389,-0.320695,-0.287445,-0.129233,-0.00345336,0.131755,0.278712,0.42739,0.505453,0.557901,0.59972,0.671062,0.73222,0.79132,0.795995,0.034457,0.0259053,0.0208638,0.0179058,0.0161475,0.016427,0.0139629,0.012481,0.0147301,0.0143571,0.0141357,0.0144122,0.0147213,0.0122791,0.0134378,0.0173838,0.016971,0.0188045,0.0219761,0.0279038,0.0366955
33.425,48.1333,0.7,0,7,0.00395411,-0.0450064,-0.0947649,-0.1469,-0.246695,-0.529162,-0.283949,-0.0235861,0.0145264,-0.0860245,-0.00171537,0.0987811,0.149131,0.185718,0.240442,0.293694,0.37046,0.422917,0.463493,0.517381,0.5623,0.0238271,0.0190369,0.016479,0.0151152,0.014294,0.0155296,0.0151718,0.0150223,0.0149192,0.0136748,0.0135709,0.0136317,0.0150716,0.0144509,0.0142701,0.0148983,0.0147998,0.0155015,0.0165453,0.0193657,0.0238851
26.215,68.6667,0.7,0,7,0.0858216,0.108984,0.0717185,-0.0103241,-0.0753199,0.0394779,-0.205164,-0.29354,-0.256112,-0.117748,0.00956519,0.125882,0.262857,0.397816,0.488229,0.529499,0.562248,0.644635,0.691901,0.766444,0.798763,0.0347081,0.0254407,0.0210515,0.0181113,0.0166555,0.0170357,0.0139108,0.0124712,0.014558,0.0143749,0.0140262,0.0142962,0.0145319,0.0120905,0.0133531,0.0176103,0.0175494,0.019367,0.0222743,0.0278335,0.0369063
26.5583,59.8667,0.7,0,7,0.0503153,0.086055,0.046162,-0.0395771,-0.103949,-0.0865265,-0.224327,-0.248232,-0.200076,-0.111255,-6.39994e-05,0.118453,0.228173,0.359066,0.44295,0.486734,0.523782,0.585342,0.669506,0.717923,0.738053,0.0326899,0.0241665,0.020275,0.0174181,0.0162395,0.0166972,0.0140927,0.0127803,0.0144998,0.0142033,0.0138903,0.0140539,0.0145623,0.0125184,0.0134626,0.017098,0.0167991,0.0183633,0.0213185,0.0256769,0.0338297
29.6483,115.6,0.7,0,7,0.130811,0.136602,0.133447,0.0467511,0.0182142,0.370588,-0.157034,-0.407914,-0.408851,-0.144583,0.00624231,0.148018,0.346833,0.503486,0.608929,0.663048,0.679839,0.763831,0.835677,0.893339,0.909693,0.0398646,0.0296532,0.0231784,0.0194245,0.0174635,0.0179827,0.0137155,0.0119795,0.0148218,0.0149458,0.0148085,0.0149487,0.0147109,0.0116933,0.0134018,0.0190614,0.018623,0.02114,0.025624,0.0325464,0.0441787
35.8283,54,0.7,0,7,-0.0232105,-0.0534327,-0.10764,-0.175611,-0.266805,-0.584789,-0.298103,0.0107864,0.0448594,-0.0823669,-0.0001794,0.089551,0.131419,0.168068,0.220243,0.274025,0.354175,0.400089,0.455815,0.489726,0.548424,0.0225647,0.0183398,0.0159699,0.0147807,0.0141218,0.0155253,0.0154742,0.0153055,0.0149069,0.013652,0.0135249,0.0136243,0.0149437,0.0148874,0.0145756,0.014731,0.0143784,0.0150975,0.0162908,0.0184108,0.0229455
26.9017,62.8,0.7,0,7,0.11288,0.0899649,0.0536945,-0.037112,-0.101827,-0.0832831,-0.229992,-0.25406,-0.194422,-0.120035,-0.00212223,0.11547,0.240474,0.358917,0.445521,0.483041,0.540761,0.584221,0.665408,0.715417,0.758177,0.0319647,0.0244693,0.0204777,0.0176431,0.016084,0.0165385,0.0140946,0.0127727,0.0144882,0.0140322,0.0138983,0.0140993,0.0146013,0.0124612,0.0134084,0.0170482,0.0170878,0.0182647,0.0209279,0.0254234,0.0333508
31.0217,103.867,0.7,0,7,0.104184,0.136147,0.0565823,-0.00569929,-0.074537,0.0533428,-0.218106,-0.31579,-0.286029,-0.141584,0.000989595,0.134157,0.275596,0.423366,0.504286,0.549805,0.586481,0.659031,0.713124,0.793243,0.794592,0.0345455,0.0261113,0.020728,0.017853,0.016135,0.0163899,0.0138868,0.0125243,0.0147148,0.014509,0.0142658,0.0143758,0.0147561,0.0122307,0.0133254,0.0172834,0.0170628,0.0188934,0.0218569,0.0277364,0.0360669
31.7083,112.667,0.7,0,7,0.0805701,0.131057,0.0947278,0.0067954,-0.0684928,0.102202,-0.220211,-0.341652,-0.30895,-0.138111,-0.00292085,0.137403,0.290438,0.441251,0.52573,0.570832,0.608349,0.682875,0.777457,0.812793,0.806847,0.0357369,0.0261407,0.0209197,0.01773,0.0163614,0.0166494,0.0138027,0.0124998,0.0148126,0.0144628,0.014353,0.0146744,0.014663,0.0121908,0.0134254,0.017373,0.0170336,0.0191348,0.0230465,0.028771,0.0370586
32.395,86.2667,0.7,0,7,0.0605994,0.0545807,0.0212222,-0.0780777,-0.15366,-0.242322,-0.274988,-0.207149,-0.127295,-0.109586,-0.00323587,0.116126,0.219382,0.317732,0.38809,0.447811,0.495893,0.557237,0.623244,0.653326,0.699639,0.0297434,0.0224671,0.0185469,0.0165584,0.0152451,0.0157212,0.0143391,0.0133741,0.014767,0.0140232,0.0138195,0.0140295,0.0148206,0.0130108,0.0136457,0.0160763,0.0156243,0.0169611,0.0193198,0.0233815,0.0305447
29.9917,74.5333,0.7,0,7,0.0665141,0.0776003,0.0276083,-0.0594878,-0.13018,-0.191597,-0.255536,-0.216147,-0.156387,-0.115748,0.00301857,0.121724,0.220214,0.326575,0.402281,0.45268,0.504943,0.579336,0.623123,0.69192,0.71124,0.029836,0.0232092,0.0192027,0.0168755,0.0156169,0.0158622,0.014178,0.0131477,0.0147195,0.0140196,0.0138679,0.014105,0.0147241,0.0127755,0.0134428,0.0162928,0.0161297,0.0174864,0.0198695,0.0242674,0.0313548
